category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",High Pressure Car Wash Machine,1650.0,Brand New,Greater Accra,Teshie,"Greater Accra, Teshie","Verified ID, 3+ years on Jiji",High quality car pressure wash machine,False,https://jiji.com.gh/teshie/home-appliances/high-pressure-car-wash-machine-cS3NeNXG7BrHz5pan3RXzplr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Rust Free SAMSUNG-9KG-TWIN-TOP-SEMI-AUTOWASHER-WASHINGMACHIN,3999.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Features an Air Turbo Spin-drying system that leaves the laundry fresh and well dried by powerful...,False,https://jiji.com.gh/circle/home-appliances/rust-free-samsung-9kg-twin-top-semi-autowasher-washingmachin-slUGkGeEdk9d2uwGTxW3VKMn.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Silver Crest Double Cup 4500watt Blender at Wholesale Prices,319.0,Brand New,Greater Accra,Tesano,"Greater Accra, Tesano","Verified ID, 5+ years on Jiji",Silver crest 4500watts double cup blender at wholesale prices,False,https://jiji.com.gh/tesano/kitchen-appliances/silver-crest-double-cup-4500watt-blender-at-wholesale-prices-xnFXrsZB6euerEDy0kiJS3h3.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Bottle Palm for Sale Ghc250,250.0,,Greater Accra,Weija,"Greater Accra, Weija","Verified ID, 3+ years on Jiji",Bottle palm available for sale,False,https://jiji.com.gh/weija/garden/bottle-palm-for-sale-ghc250-i06iWPnkLUAsSOKTSzNsb7Hr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Roch Washing Machine /Washing Machine 6kg,2000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/roch-washing-machine-washing-machine-6kg-i0BbEypRg1URbsRRikx6dvoS.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Pearl Air Conditioner Air Conditioner Affordable Ac,2799.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/pearl-air-conditioner-air-conditioner-affordable-ac-stOObqI83PF4Pm8vWHxwcJcT.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Buchymix High Power Blenders,5200.0,Brand New,Greater Accra,Mataheko,"Greater Accra, Mataheko","Verified ID, 5+ years on Jiji",Bushymix power blenders in different models and prices,False,https://jiji.com.gh/mataheko/kitchen-appliances/buchymix-high-power-blenders-A7GKwUFGOjNsczjajfiCB5Gp.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Midea-20ltr-Microwave-Solo-Mm7p012mz-B,849.0,Brand New,Greater Accra,Weija,"Greater Accra, Weija",Verified ID,"Black
silver handle
5 levels
8 auto menu
child safety lock
700 watt",False,https://jiji.com.gh/weija/kitchen-appliances/midea-20ltr-microwave-solo-mm7p012mz-b-dzdkBSSnIfbA3xQQmWhBaB3O.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Innova Twin Washing Machine 14kg,3250.0,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji",Super quality washing machine and energy saving,False,https://jiji.com.gh/kumasi-metropolitan/home-appliances/innova-twin-washing-machine-14kg-2Abm0bXW1FjS0Dg7TjxS3V9Y.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Sleekly Designed Washing Machine by Nasco Twin Turbo 5kg,1100.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Quality and affordable 
1 year's warranty 
We are located on pokuase kwabenya A.C.P road close to...",False,https://jiji.com.gh/accra-metropolitan/home-appliances/sleekly-designed-washing-machine-by-nasco-twin-turbo-5kg-qemRcvsyVTi33gDZFytpDwi1.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Roch 1.5hp R410a Split Air Conditioner,3000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Roch 1.5HP R410a air conditioner are designed to face the extreme conditions of our Ghanaian climate...,False,https://jiji.com.gh/accra-metropolitan/home-appliances/roch-1-5hp-r410a-split-air-conditioner-B6Pv6cR7dAQgkjyW8YhaXQe8.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Low Noise of Roch Ac 1.5hp All Black Colour Going for Cool Price,2699.0,Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",Verified ID,"One year warranty
Fresh in box
Sleep mode
Low noise
Energy Efficiency
Times 
Remote control",False,https://jiji.com.gh/awoshie/home-appliances/low-noise-of-roch-ac-1-5hp-all-black-colour-going-for-cool-price-eKXdEebn8K9ANZbd7ADcayYJ.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",1.5hp Midea High Tech Air Conditioner Ac New Quality Reduction Price,3871.0,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex","Verified ID, 5+ years on Jiji","1.5hp midea air conditioner 
Brand new ac
Split air conditioner 
Quality at affordable prices 
We...",False,https://jiji.com.gh/spintex/home-appliances/1-5hp-midea-high-tech-air-conditioner-ac-new-quality-reduction-price-dXD4D49fc9QfsYSoLG2P9lnd.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Handheld Ice Rechargeable Portable Fan,200.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,Original handheld Fan in colour black as seen. Blows air very well and cools as well. Strong battery...,False,https://jiji.com.gh/accra-metropolitan/home-appliances/handheld-ice-rechargeable-portable-fan-mNj36jj3O3Iep1MZEBJqnXyN.html,Jiji Ghana (jiji.com.gh),2026-04-20
