category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
Commercial Equipment & Tools,Rice Steamer,11500.0,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",,"Commercial stainless steel Rice steamer 
Ideal for restaurants, hotels, catering services.
Available...",True,https://jiji.com.gh/adenta-municipal/restaurant-and-catering-equipment/rice-steamer-rA37CcrWuPG94thgNzx07otO.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Chemistry Reagents,300.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","All chemistry reagents available 
alt, ast, creat, alb, tp, urea, gluc, etc.",False,https://jiji.com.gh/accra-metropolitan/medical-equipment/chemistry-reagents-fEDALn5WooDCWrRpVl6Bi6dS.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Ultrasound Printer Paper ( GMED 110 HG ),75.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",Gmed 110 hg ultrasound printer paper,False,https://jiji.com.gh/accra-metropolitan/medical-equipment/ultrasound-printer-paper-gmed-110-hg-a0o5stTbPErW7I0UDaQwmQvM.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Detoxification Machine ( Black ),2200.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",The Ion Foot Detox cleanse is a professional detoxification treatmentthat helps with total body...,False,https://jiji.com.gh/accra-metropolitan/medical-equipment/detoxification-machine-black-pzVt7x7Mgs3i73j9tPB56Zkt.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,School Siren Setup - Automated System For Basic & Secondary Schools,4300.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Reliable and trusted provider of school siren systems in Ghana. We install high-performance,...",False,https://jiji.com.gh/accra-metropolitan/safety-equipment/school-siren-setup-automated-system-for-basic-secondary-schools-ubIPpDxjTdA6iHwHbWyhjFyS.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Drop Safe Deposit Box - Drop Slot Cash Box,3000.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Drop safe deposit box - Drop slot cash box,False,https://jiji.com.gh/accra-metropolitan/safety-equipment/drop-safe-deposit-box-drop-slot-cash-box-hTuX6ikhAM6Krsj9riDKRgAF.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Hair Steamer Standing Machine,1800.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,It really good and nice for hair streaming,False,https://jiji.com.gh/accra-metropolitan/salon-equipment/hair-steamer-standing-machine-fGWcXeZtRGSb1PrZGF8qlC08.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Automatic Quality Block Molding Machine,11000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","Automatic Quality Block Molding Machine
that comes with the accessories below
* 5 and 6 inches...",True,https://jiji.com.gh/tema-metropolitan/manufacturing-equipments/automatic-quality-block-molding-machine-3mZT4gcdNMuOkXqurx4IEIxN.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Ovulation Kit,250.0,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",,An ovulation kit is used to predict when a woman is most fertile by detecting the surge in...,False,https://jiji.com.gh/mamprobi/medical-equipment/ovulation-kit-g2gafVARPikDb0jdS8UM7zs9.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Portwest Maximum Impact Protection Gloves,210.0,,Western Region,Takoradi,"Western Region, Takoradi",,Portwest Maximum Impact Protection Gloves EN388:2016; EN511:2006,False,https://jiji.com.gh/takoradi/safety-equipment/portwest-maximum-impact-protection-gloves-2QU7SC1994xL5BVrNOUPPSlK.html,Jiji Ghana (jiji.com.gh),2026-04-20
