Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances",Gate Lights (Gate Pilar Light),300.0,GH₵ 300,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Quality and durable gate light for your frontier pillars and gate will illuminate and beautify your...,https://jiji.com.gh/tema-metropolitan/lighting/gate-lights-gate-pilar-light-5vDv2J1oC8kpmGEBdqE69IbR.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Roch 300liter French Door Refrigerator Bottom Freezer,6999.0,"GH₵ 6,999",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji",Buy new and sealed in box Roch 300Liter French Door Refrigerator. This refrigerator comes with...,https://jiji.com.gh/achimota/kitchen-appliances/roch-300liter-french-door-refrigerator-bottom-freezer-fmbgGMI4Ie7izfiyO6dQOWq1.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Smart Led Wall Corner Light,520.0,GH₵ 520,,Greater Accra,West Legon,"Greater Accra, West Legon",3+ years on Jiji,"The corner lamp uses innovative
RGB technology to display more than 16 million colors. A variety of...",https://jiji.com.gh/west-legon/lighting/smart-led-wall-corner-light-dF6Cab0SKxNwUYaHqF4X1mc4.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Most Authentic TCL 2.0hp Inverter Air Conditioner,6299.0,"GH₵ 6,299","Brand New, Yes",Greater Accra,Alajo,"Greater Accra, Alajo",,TCL Split Inverter R410 Air Conditioner 2.0Hp · Auto Restart · Low Noise · Smart Air Flow · Sleep...,https://jiji.com.gh/alajo/home-appliances/most-authentic-tcl-2-0hp-inverter-air-conditioner-WXuyy8rChoqVIx2n4S8nBla.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Solar Street Light 100w,170.0,GH₵ 170,,Greater Accra,McCarthy Hill,"Greater Accra, McCarthy Hill","Verified ID, 3+ years on Jiji","*Light up your space with smart solar power 
*Bright nights, zero electricity bills
*Powerful...",https://jiji.com.gh/mccarthy-hill/lighting/solar-street-light-100w-sjiBkVCnrHyTTNoRUZP4g0d.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Bardefu 8 in 1 Commercial Professional Power Multo- Purpose Blender 4l,460.0,GH₵ 460,Brand New,Greater Accra,Odorkor,"Greater Accra, Odorkor",,It is specially designed for food preparation and can crush seeds to a fine paste. It can be used...,https://jiji.com.gh/odorkor/kitchen-appliances/bardefu-8-in-1-commercial-professional-power-multo-purpose-blender-4l-pb9wXbFkmDdGjRpWrezXMh40.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",RGB Strip Light,150.0,GH₵ 150,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji",Rgb strip lights are available,https://jiji.com.gh/kumasi-metropolitan/lighting/rgb-strip-light-xrbxK6iNgGxYdY1JzzfMMkiV.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",4pcs Solar Rechargeable Garden Light,250.0,GH₵ 250,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",Verified ID,"* Brand Name: OEM
* Application: Garden 
* Battery lIncluded: Yes 
* Battery: Lithium Battery
* Beam...",https://jiji.com.gh/accra-new-town/lighting/4pcs-solar-rechargeable-garden-light-65B8AUca4gfaLVCQ7GI5eDTi.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",RGB 10 Meters Neon Light With Remote Control,250.0,GH₵ 250,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Enjoy this powerful RGB 10 meters Neon Light With Remote Control,https://jiji.com.gh/accra-metropolitan/lighting/rgb-10-meters-neon-light-with-remote-control-pkMZ2QZmUNt8KDjLlJTC3hQt.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Today Study Lamp,200.0,GH₵ 200,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Adjustable stand electric plug study lamp for home and office use,https://jiji.com.gh/accra-metropolitan/lighting/today-study-lamp-3JnQsC3YisDZbnIY2FVViWRv.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Brand New 26L Storage Water Heater Decakila,1900.0,"GH₵ 1,900",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,Quality and affordable one year warranty,https://jiji.com.gh/accra-metropolitan/home-appliances/brand-new-26l-storage-water-heater-decakila-mqMAlgo28CMkOmmbVaQ9AJwU.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Extremely Good Quality Ferre 60x90 5 Gas Burner Cooker,6999.0,"GH₵ 6,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Verified ID, 5+ years on Jiji","Ferre 90cm, cooker is ideal for everyday cooking needs in larger households. Prep all your dishes in...",https://jiji.com.gh/adabraka/kitchen-appliances/extremely-good-quality-ferre-60x90-5-gas-burner-cooker-aCuCnX6ijQBS2dOHIKtm1I8n.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",5-Meter Smart Neon Led RGB Magic Strip Light,150.0,GH₵ 150,,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 3+ years on Jiji","LED Neon RGB-IC Magic light strip 5meter, a flexible neon-style lighting solution designed for...",https://jiji.com.gh/madina/lighting/5-meter-smart-neon-led-rgb-magic-strip-light-Ci4PmC5HpQOfx19esZHQOu4e.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances","150w Led Streetlight With Photocell–Automatic,Bright Energy Efficient",600.0,GH₵ 600,,Greater Accra,Adenta,"Greater Accra, Adenta",Verified ID,"Light up your streets, compounds, and outdoor spaces with this powerful 150W LED streetlight, built...",https://jiji.com.gh/adenta-municipal/lighting/150w-led-streetlight-with-photocell-automatic-bright-energy-efficient-zhRT257nzWBp86h9B5DnRvRC.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Bluetooth Smart Led Light Strips 5m,170.0,GH₵ 170,,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","Smart led strip lights 5 meters , music sync color change led lights for bedroom,5050 smd rgb led...",https://jiji.com.gh/circle/lighting/bluetooth-smart-led-light-strips-5m-fzjHxHts1ADDHvdnv3vu1tkg.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",2l Commercial Blender,230.0,GH₵ 230,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",The 2-in-1 Unbreakable Silver Crest Blender is a versatile appliance for blending and grinding. It...,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/2l-commercial-blender-qeOkqP83ahHrFgP4Tdb409Ox.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",4 Heads Pendant Light,800.0,GH₵ 800,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",4 heads pendant light with adjustable LED light,https://jiji.com.gh/accra-metropolitan/lighting/4-heads-pendant-light-rwknfmTWHG1oXTwEv20Q700i.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Track Light / Spot Light 4pcs With Rail Set (3 Lighting Mode),500.0,GH₵ 500,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,30W COB LED Track Light (Spotlight). It is a high-performance lighting fixture commonly used in...,https://jiji.com.gh/accra-metropolitan/lighting/track-light-spot-light-4pcs-with-rail-set-3-lighting-mode-hOYxUQn1bXw6EQmnl3fh8mQJ.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Popcu Turbo Handheld Fan,99.0,GH₵ 99,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Intelligent display, concentrated turbo wind, low noise, 100 speed control.",https://jiji.com.gh/accra-metropolitan/home-appliances/popcu-turbo-handheld-fan-8BBX97IFKRPldvgV9TXR88Qx.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Adjustable 200W 15 Liters Midea Water Heater,1299.0,"GH₵ 1,299",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",3+ years on Jiji,"15 ltrs
square heater
white
2000 w",https://jiji.com.gh/adabraka/home-appliances/adjustable-200w-15-liters-midea-water-heater-BrXXYx78H7bpDELMV9sEuviW.html,Jiji Ghana (jiji.com.gh),2026-05-11
