Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,Doyen Retractor,220.0,GH₵ 220,,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",5+ years on Jiji,High-quality Doyen Retractor designed for effective tissue retraction during surgical procedures....,https://jiji.com.gh/kokomlemle/medical-equipment/doyen-retractor-sDMFA0cBxYtdlbpOMCXH89oa.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Red Bed A2 Heatpress Machine,4000.0,"GH₵ 4,000",,Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 5+ years on Jiji","Easter Bonanza Back Again New arrival of the standardized, strong Red Heavy Compressor A2 Heat...",https://jiji.com.gh/lapaz/printing-equipment/red-bed-a2-heatpress-machine-oHM1FCR6dvKnVIRjk5osToCA.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,5.5m Heavy Duty Light Truss Crank Stand,8000.0,"GH₵ 8,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",This Light Truss Stand is cranked up with a hand winch to lift up light. •|. With 5.5m height...,https://jiji.com.gh/accra-metropolitan/stage-lighting-and-effects/5-5m-heavy-duty-light-truss-crank-stand-CcX9IJOYNCkE2ngb475ndYDF.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Electronic Blood Pressure Monitor,250.0,GH₵ 250,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Digital LCD Display: Provides easy-to-read blood pressure and pulse readings.
Light and Compact:...",https://jiji.com.gh/accra-metropolitan/medical-equipment/electronic-blood-pressure-monitor-ljYHJ2lwEYg6BTKERhUNcnmc.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Commercial/Domestic Gas Oven,2500.0,"GH₵ 2,500",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,"This oven suitable for commercial and Domestic purpose, good for students and beginners... good for...",https://jiji.com.gh/accra-metropolitan/restaurant-and-catering-equipment/commercial-domestic-gas-oven-rC2lMNqHUYw0TEjTlDP3eOXi.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Ear Plugs (Protective),7.0,GH₵ 7,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Ear plugs for protection against noise,https://jiji.com.gh/accra-metropolitan/safety-equipment/ear-plugs-protective-w8UExnv2D9MtL99UZhdzOqsR.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Dissecting Forceps Plain 15cm,60.0,GH₵ 60,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",3+ years on Jiji,"A 15cm plain dissecting forceps is a surgical instrument primarily used for grasping, holding, and...",https://jiji.com.gh/mamprobi/medical-equipment/dissecting-forceps-plain-15cm-ffY2GgX9LSadnU57piZC5UXS.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Ampit Crutches ( America Standard),250.0,GH₵ 250,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi",3+ years on Jiji,"Axillary crutches are designed to transfer weight from the legs to the upper body,allowing the user...",https://jiji.com.gh/mamprobi/medical-equipment/ampit-crutches-america-standard-xjQHeiVRtv8MO7gxPHBZgiQR.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Quality Flagging Tape. More Colours Available.,18.0,GH₵ 18,,Greater Accra,Nungua,"Greater Accra, Nungua",Verified ID,The flagging tape are of high quality and high weather resistant.,https://jiji.com.gh/nungua/safety-equipment/quality-flagging-tape-more-colours-available-rY6P3rvcuYoiB8LwENky0EeU.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Stage Light 18eyes,280.0,GH₵ 280,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",RGB stage light with mixer capability,https://jiji.com.gh/accra-metropolitan/stage-lighting-and-effects/stage-light-18eyes-i71lfMeBgwfplNA0LMyEUSaB.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,8 In One Heat Press Machine,3499.0,"GH₵ 3,499",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Equipped with interchangeable heating elements, the 8-in-1 heat press supports printing on T-shirts,...",https://jiji.com.gh/accra-metropolitan/printing-equipment/8-in-one-heat-press-machine-g5NAWPsnMyv0KATuNVDURCWA.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Nitrile Powder Free Examination Gloves (Allergy Free Gloves),40.0,GH₵ 40,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Looking for a durable, highly specialised, heavier-duty glove option? Use Nitraflex selection of...",https://jiji.com.gh/accra-metropolitan/medical-equipment/nitrile-powder-free-examination-gloves-allergy-free-gloves-fw0bZaRQ4qFuJtiMkY9TKqM3.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Rubbing Alcohol,150.0,GH₵ 150,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",60 percentage rubbing alcohol for sale rush now,https://jiji.com.gh/accra-metropolitan/safety-equipment/rubbing-alcohol-1bF4gQEHpGkLWZi0n8gDs7rz.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,"Pizza Boxes 10"" Italy Design (50pcs)",200.0,GH₵ 200,Brand New,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",,"Our pizza containers are constructed from high-quality thick cardboard, ensuring they are...",https://jiji.com.gh/kaneshie/restaurant-and-catering-equipment/pizza-boxes-10-italy-design-50pcs-b3nUyKcH72mStrkzlTMtQusd.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Hikvision Time Attendance 3in1+Backup Battery K1a8503,650.0,GH₵ 650,,Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 3+ years on Jiji","K1A8503 Value Series Fingerprint Time Attendance Terminal
2.4-inch LCD screen to display time, date,...",https://jiji.com.gh/lapaz/safety-equipment/hikvision-time-attendance-3in1-backup-battery-k1a8503-dhQPeXJxxaf0FpHN3IWDyOxi.html,Jiji Ghana (jiji.com.gh),2026-05-11
