Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Electronics,10tb Wd Purple Hard Drive Surveillance Hdd Original,3900.0,"GH₵ 3,900",Brand New,Greater Accra,Tesano,"Greater Accra, Tesano",,"Wd purple drives are built for 24/7, always-on, high-definition security systems. wd purple...",https://jiji.com.gh/tesano/computer-hardware/10tb-wd-purple-hard-drive-surveillance-hdd-original-nmGDv7dbNHfWIbpE6FSfmT6k.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Canon 60d Body,3300.0,"GH₵ 3,300",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Camera  body only- with battery and charger,https://jiji.com.gh/accra-metropolitan/cameras-video-cameras-and-accessories/canon-60d-body-hKvldRrNp0n8t9K1kaSKPsgy.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,GLS 15 Rechargeable Speaker,2500.0,"GH₵ 2,500",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","2 microphone 
1 remote control 
power cable 
built-in battery",https://jiji.com.gh/accra-metropolitan/audio-and-music-equipment/gls-15-rechargeable-speaker-B5JomAJjXSZlpl2KJb8OABex.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Colourvu Smart Surveillance Video CCTV Camera 8 Channel With 500gb HDD,2699.0,"GH₵ 2,699",,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Ack at the best second pensation 205 compression tochnology for video coding ringan Picfle...,https://jiji.com.gh/circle/security-and-surveillance/colourvu-smart-surveillance-video-cctv-camera-8-channel-with-500gb-hdd-hzZhrMu7By9OTaGiDJP3thHc.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Hp Blue Pin Charger,100.0,GH₵ 100,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,Original hp blue pin charger,https://jiji.com.gh/circle/computer-accessories/hp-blue-pin-charger-1b1JEw79btKkqvGbNfekwZVI.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Long Range Wireless Intercom (1000m) With Screen,580.0,GH₵ 580,"Brand New, Wireless",Greater Accra,Tesano,"Greater Accra, Tesano",Verified ID,Upgrade your home or office communication with this heavy-duty wireless intercom system. Whether you...,https://jiji.com.gh/tesano/headphones/long-range-wireless-intercom-1000m-with-screen-5xLNn0LilPwmZGJLIwmXAFe7.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Lenovo Thinkpad T490s Heatsink Heat Sink,500.0,GH₵ 500,Brand New,Greater Accra,Burma Camp,"Greater Accra, Burma Camp",3+ years on Jiji,New cpu cooling fan with heatsink for lenovo thinkpad t490 20n2 20n3 20qh swg p/n:5h40z26562 01yu188...,https://jiji.com.gh/burma-camp/computer-accessories/lenovo-thinkpad-t490s-heatsink-heat-sink-8PCBdSQoUePRHh0RRIGBBy0s.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Server Rack Cabinet,550.0,GH₵ 550,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",5+ years on Jiji,Floor and wall mount server racks and cabinets organize and secure IT equipment wherever it is...,https://jiji.com.gh/east-legon/computer-accessories/server-rack-cabinet-HBoBJY03KP84mMZgTvwNJlB.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Acer Yellow Pin Power Adapter,120.0,GH₵ 120,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,This is an original ACER power adapter with 19V power output. It’s is attached with a power cable,https://jiji.com.gh/tema-metropolitan/computer-accessories/acer-yellow-pin-power-adapter-oJrOI1W4vqDlaTzmoiamWn6X.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Fenvi Wifi 5 Plus Bluetooth Pcie Adapter,150.0,GH₵ 150,Brand New,Northern Region,Tamale Municipal,"Northern Region, Tamale Municipal",3+ years on Jiji,Fenvi Dual band WiFi 5ghz and 2ghz plus Bluetooth. Inbox long wifi poles. Interchangeable brackets...,https://jiji.com.gh/tamale-municipal/computer-hardware/fenvi-wifi-5-plus-bluetooth-pcie-adapter-cwARGfHNeA5Gpm86rZ5Tiuks.html,Jiji Ghana (jiji.com.gh),2026-04-20
