Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Property / Real Estate,Full Plot of Land for Sale in Esereso Adagya,65800.0,"GH₵ 65,800",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,Full plot for sale in Esereso Adagya in a very good location going for call Palcity Properties for...,https://jiji.com.gh/kumasi-metropolitan/land-and-plots-for-sale/full-plot-of-land-for-sale-in-esereso-adagya-apr4svNX4sCPp4HMnCmQUy14.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Very Nice Half Plot Comm19 for Sale,350000.0,"GH₵ 350,000",,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","A tdc verified documents half plot comm19 for sale going for a cool 350.000 cedis,40/90 area...",https://jiji.com.gh/tema-metropolitan/land-and-plots-for-sale/very-nice-half-plot-comm19-for-sale-BkXkREWswXWNEtMTrBlnGZ8f.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Peaceful Half Plots — 70x50ft at Tsopoli Skyport Phase 4,40000.0,"GH₵ 40,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Enjoy peace of mind with half plots measuring 70x50ft at Tsopoli Skyport City Phase 2, just 2...",https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/peaceful-half-plots-70x50ft-at-tsopoli-skyport-phase-4-idOcsVwnotQutIjTzpHGpzB2.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"Daily Short Stay – Furnished 2 Bedroom Apartment, Tema Comm 25",700.0,GH₵ 700,"2 rooms, 2 bedrooms",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji","SHORT STAY ONLY) – not normal monthly rent.
Weekly & monthly discounts available for long stays....",https://jiji.com.gh/community-25/temporary-and-vacation-rentals/daily-short-stay-furnished-2-bedroom-apartment-tema-comm-25-sp8SrdsdcDpXodUNdulbrV9l.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,1bdrm Apartment in Lapaz Race Course for rent,1500.0,"GH₵ 1,500",,Greater Accra,Lapaz,"Greater Accra, Lapaz",5+ years on Jiji,Neat chamber and a hall self contain for rent at lapaz race course school junction going for Ghc1500...,https://jiji.com.gh/lapaz/houses-apartments-for-rent/1bdrm-apartment-in-lapaz-race-course-for-rent-2YLvyEqk5KCodS2Zby4Xr5bN.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Half Plots for Sale,60000.0,"GH₵ 60,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Various sizes of land for sale. All walled at the same place. You can buy half or full or more.,https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/half-plots-for-sale-xjwhgNKIjHwrGUlbAnG3iTa4.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Good Location Land With Free Documentation,15000.0,"GH₵ 15,000",,Greater Accra,Kasoa,"Greater Accra, Kasoa",Verified ID,"Land on the Accra-winneba Road at Panfokrom, close to the Potsin police station and just opposite...",https://jiji.com.gh/kasoa/land-and-plots-for-sale/good-location-land-with-free-documentation-uYM0TsVs9MRTsZTFwxTGSEVf.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Two Plots for Sale,950000.0,"GH₵ 950,000","Agent, 140sqm",Greater Accra,Spintex,"Greater Accra, Spintex",,"Executive two plots for sale around lashibi in a well developed area, it close to the main road",https://jiji.com.gh/spintex/land-and-plots-for-sale/two-plots-for-sale-1I65raMCPx6oenQXM6kItnaq.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,"3bdrm House in E a Properties, ECOMOG for Sale",560000.0,"GH₵ 560,000","3 bedrooms, 3 bathrooms",Greater Accra,Haatso,"Greater Accra, Haatso",3+ years on Jiji,"Newly built 3bedroom house
Kwabenya franko 
Title documents
$70,000",https://jiji.com.gh/ecomog/houses-apartments-for-sale/3bdrm-house-in-e-a-properties-ecomog-for-sale-BQmTv2AfuDeTjLTjk575FTS9.html,Jiji Ghana (jiji.com.gh),2026-05-11
Property / Real Estate,Furnished 2bdrm Apartment in Kumasi Metropolitan for rent,550.0,GH₵ 550,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",3+ years on Jiji,"A very nice two bedroom apartment inside Abuakwa, Sepase.",https://jiji.com.gh/kumasi-metropolitan/houses-apartments-for-rent/furnished-2bdrm-apartment-in-kumasi-metropolitan-for-rent-vWFYmwlEnUC1LqSLTIsQtm7t.html,Jiji Ghana (jiji.com.gh),2026-05-11
