Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Electronics,X90 JVC 10000 Watts 5.1 Channel Tv Soundbar,1599.0,"GH₵ 1,599",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","5, 5+ years on Jiji",Jvc x90 deep bass wireless 10000 watts 5.1 channel tv soundbar is new sealed in box with all...,https://jiji.com.gh/achimota/audio-and-music-equipment/x90-jvc-10000-watts-5-1-channel-tv-soundbar-p3c6H2MjD3pKjV3OgViqwAPm.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Laptop Ddr4 16gb Memory,800.0,GH₵ 800,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 4.9","It’s brand new seal and u have all the speed that can suit your laptop. Good for graphics, gaming...",https://jiji.com.gh/kokomlemle/computer-hardware/laptop-ddr4-16gb-memory-kkiddS58Tu1qMo1bD4ttq9JJ.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Uk Used Xbox Controllers,350.0,GH₵ 350,Used,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",,UK used Xbox controllers going for a cool price,https://jiji.com.gh/ashaley-botwe/video-games-and-consoles/uk-used-xbox-controllers-nJclRDnW6KpwHPXPMql6nDIu.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,With Meridian Sound System SP7 LG,5499.0,"GH₵ 5,499",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"5.1 Channel Configuration:
Includes a soundbar, wireless subwoofer, and rear speakers for a complete...",https://jiji.com.gh/adabraka/audio-and-music-equipment/with-meridian-sound-system-sp7-lg-3zx52WK9Gmz6BYpNHJqV5fel.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Canon 6d Everything Works Perfect,4500.0,"GH₵ 4,500",Used,Greater Accra,Adabraka,"Greater Accra, Adabraka","Verified ID, 3+ years on Jiji",Everything works perfectly,https://jiji.com.gh/adabraka/cameras-video-cameras-and-accessories/canon-6d-everything-works-perfect-jLNpBXqnGWTkGu8sh1cq69JA.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Original Apple Keyboard From Usa,150.0,GH₵ 150,"Bulk prices, Used",Greater Accra,Osu,"Greater Accra, Osu","Verified ID, 5+ years on Jiji","Original apple keyboard shipped from USA  
Call us on024*********",https://jiji.com.gh/osu/computer-accessories/original-apple-keyboard-from-usa-APvDHihA5oFQUOLwffPGa71.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Media Plus Hi-if Multimedia System,800.0,GH₵ 800,Brand New,Greater Accra,Alajo,"Greater Accra, Alajo",3+ years on Jiji,7media plus Hi-fi multimedia system available. Brand new. Enjoy 3D sound quality with variety of...,https://jiji.com.gh/alajo/audio-and-music-equipment/media-plus-hi-if-multimedia-system-8W5draYCj3uvG6ImhIpsg6Au.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Universal Tablet Keyboard With Case 10 Inches,170.0,GH₵ 170,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji","Universal Tablet Keyboard with Case 10 inches
For all tablet types 
Wiless connection 
Very durable...",https://jiji.com.gh/kokomlemle/computer-accessories/universal-tablet-keyboard-with-case-10-inches-g5L8bzrzyxGxh70oMzV8wroN.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Crucial 6tb X10 Usb 3.2 Gen 2x2 Portable Ssd,6200.0,"GH₵ 6,200",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Crucial 6TB X10 USB 3.2 Gen 2x2 Portable SSD
6TB Storage Capacity
USB-C 3.2 Gen 2x2...",https://jiji.com.gh/accra-metropolitan/computer-hardware/crucial-6tb-x10-usb-3-2-gen-2x2-portable-ssd-ln7zpn8duK2LSnG3Kntc4GMh.html,Jiji Ghana (jiji.com.gh),2026-05-11
Electronics,Jac 12 Inches Line Arrays With Ev Double Sub Speakers,42500.0,"GH₵ 42,500",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Jac line arrays and Double Sub Fir Professional use,https://jiji.com.gh/accra-metropolitan/audio-and-music-equipment/jac-12-inches-line-arrays-with-ev-double-sub-speakers-kRXeCvjrjrLmfWixqMGFdrtX.html,Jiji Ghana (jiji.com.gh),2026-05-11
