Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,Salon Barbering Waiting Chair,2850.0,"GH₵ 2,850",,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Salon barbering waiting chair available now in different types and price,https://jiji.com.gh/tema-metropolitan/salon-equipment/salon-barbering-waiting-chair-8HNoTjurcs6OUvhZ1TsIgnF5.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Foreign Popcorn Machine Electric,2000.0,"GH₵ 2,000",Brand New,Greater Accra,Nungua,"Greater Accra, Nungua",Foreign brand new in box Electric popcorn machine promo,https://jiji.com.gh/nungua/restaurant-and-catering-equipment/foreign-popcorn-machine-electric-3tkWLhIIDFVlVMTg12l4aQ59.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Unirob Polar Ice,45.0,GH₵ 45,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi","Polar ice machines can potentially reduce the need for pain medications, thus minimizing the risk of...",https://jiji.com.gh/mamprobi/medical-equipment/unirob-polar-ice-uwUzlB1NwU0YssZAvMuPhMEh.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Fascia Gun,450.0,GH₵ 450,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi","Rapid pulses of pressure to targeted areas, effectively releasing tension and improving blood flow",https://jiji.com.gh/mamprobi/medical-equipment/fascia-gun-ijQAuYBY101M7YYgUVJv83nO.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,One Touch Select Plus Strips,250.0,GH₵ 250,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",The OneTouch Select Plus strips are used with the OneTouch Select Plus simple blood glucose...,https://jiji.com.gh/accra-metropolitan/medical-equipment/one-touch-select-plus-strips-gblJOLy7oTzB2Ki0QoZL99PL.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Colostomy Bag,23.0,GH₵ 23,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",A colostomy bag is a medical pouch that collects stool through an opening on the abdomen called a...,https://jiji.com.gh/accra-metropolitan/medical-equipment/colostomy-bag-sf5HjgZBZZKMl5QRWx4HEz5C.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Littmann Classic 2,200.0,GH₵ 200,,Greater Accra,Mamprobi,"Greater Accra, Mamprobi","Used to identify ,listern and study heart,lung and other body sounds for diagnosis",https://jiji.com.gh/mamprobi/medical-equipment/littmann-classic-2-dvVm6ahj3paMTZ2mPvP5GCwG.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Equator 3000 Standing Hair Dryer,1150.0,"GH₵ 1,150",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Stand-up hair dryer
Comes in black, red and white",https://jiji.com.gh/accra-metropolitan/salon-equipment/equator-3000-standing-hair-dryer-rsBxkILqdPk7eCQINfQWdJvp.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Weed Roller,150.0,GH₵ 150,,Greater Accra,Circle,"Greater Accra, Circle",110mm -Specific Transport Sleeves - Odorproof Plastic Joint Tube Case with Locking Mechanism-Like...,https://jiji.com.gh/circle/stationery/weed-roller-b5Sgj0pVtx0axGVIHHkz1RRm.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Chemistry Reagents,300.0,GH₵ 300,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","All chemistry reagents available 
alt, ast, creat, alb, tp, urea, gluc, etc.",https://jiji.com.gh/accra-metropolitan/medical-equipment/chemistry-reagents-fEDALn5WooDCWrRpVl6Bi6dS.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,54x3 Par Stage Light RGB,380.0,GH₵ 380,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","54 par stage light with 
Voltage
AC100-240V,50-60Hz
Power
180W
Light source
54pcs *3w RGB
Control...",https://jiji.com.gh/accra-metropolitan/stage-lighting-and-effects/54x3-par-stage-light-rgb-tt5xgWwV9xi0HCExKlZe5zJJ.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Electronic Blood Pressure Monitor,250.0,GH₵ 250,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Digital LCD Display: Provides easy-to-read blood pressure and pulse readings.
Light and Compact:...",https://jiji.com.gh/accra-metropolitan/medical-equipment/electronic-blood-pressure-monitor-ljYHJ2lwEYg6BTKERhUNcnmc.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Saloon/Barbering Led Mirror,950.0,GH₵ 950,,Greater Accra,Dansoman,"Greater Accra, Dansoman",Saloon/Barbering Led Mirror,https://jiji.com.gh/dansoman/salon-equipment/saloon-barbering-led-mirror-iG349GtAv0WEQcatmGoIU6e7.html,Jiji Ghana (jiji.com.gh),2026-04-27
