Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances","4 Inches and 6 Inches and 8 Outside Duct Grill, Vent Cover",200.0,GH₵ 200,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex","Verified ID, 5+ years on Jiji","Available in 4 ,6,and 8 inches 
extractor accessories for kitchen duct ,
outside duct cover
......",https://jiji.com.gh/spintex/kitchen-appliances/4-inches-and-6-inches-and-8-outside-duct-grill-vent-cover-p3dXr2Y80V9Jn1QGQFcV0EVy.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",5kg Single Tub Washing Machine,850.0,GH₵ 850,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"【Capacity】5kg washing capacity
【Material】 PP+ high temperature resistant motor
【Upgraded motor】 It...",https://jiji.com.gh/accra-metropolitan/home-appliances/5kg-single-tub-washing-machine-wczyWdsto9QiFd3h3tPkZBGb.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Multipurpose Blender,500.0,GH₵ 500,Brand New,Greater Accra,Pokuase,"Greater Accra, Pokuase",5+ years on Jiji,"Brand new Multipurpose Blender for sale at an affordable price,it’s 8 in 1,it has juice maker,it can...",https://jiji.com.gh/pokuase/kitchen-appliances/multipurpose-blender-5PSROaMrfHhs0YQSroD9Tjv0.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Clip Desk Lamp Bedside Lamp Eye Protection Led,180.0,GH₵ 180,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Product name	LED Desk Lamp
Usage	Home Decoration Night Light
OEM/ODM	Highly Welcomed
Payment...",https://jiji.com.gh/accra-metropolitan/lighting/clip-desk-lamp-bedside-lamp-eye-protection-led-pzuKyZR6f1Zv1yUYIwgkbayh.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Original Fridge Guard(Protector),250.0,GH₵ 250,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Original and ideal fridge guard for protecting your refrigerator against voltage...,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/original-fridge-guard-protector-mcXDjTjpczQtOkmLYy4PMeCr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Vacuum Cleaner # Wvr1a10,470.0,GH₵ 470,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",Verified ID,"""Voltage: 220V-240V~50/60Hz
Input power: 1000W
Dust capacity: 10L
Vacuum pressure: >17kPa
Filter:...",https://jiji.com.gh/lapaz/home-appliances/vacuum-cleaner-wvr1a10-z4FwASu48T9n7Mmzytitl236.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Mini Foldable Wireless Rechargeable Fan,150.0,GH₵ 150,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Mini Foldable Wireless Rechargeable Fan good for Rooms, offices, Cars, public gathering and more",https://jiji.com.gh/accra-metropolitan/home-appliances/mini-foldable-wireless-rechargeable-fan-phh6iuqBnk3hxhEvLliEhZvF.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Fully Automotic Washing Machine 10.6kg,2700.0,"GH₵ 2,700",Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Fully automatic washing machine 10.6kg wholesale or retail 
Nationwide delivery available",https://jiji.com.gh/tema-metropolitan/home-appliances/fully-automotic-washing-machine-10-6kg-tXZKHFxiFSTBLbKArAjnsuCR.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Nasco 1.5hp Split Ac – Perfect for Every Room Nasco 1.5hp Ac,2700.0,"GH₵ 2,700","Brand New, No",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"1 YEAR WARRANTY 
# Pay in installments 
# Visit showroom
# Cash on delivery
# 100% copper engine
#...",https://jiji.com.gh/accra-metropolitan/home-appliances/nasco-1-5hp-split-ac-perfect-for-every-room-nasco-1-5hp-ac-hUmKdcxZbDlM3olMG9LeGz0K.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Ziplock Bags,35.0,GH₵ 35,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",Ziplock plastic bag available as seen. Available in 6 sizes in...,https://jiji.com.gh/accra-metropolitan/kitchen-and-dining/ziplock-bags-ha3NvpmPEbKLlJjIVkD2aEr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Ant Killing Gel Bait,45.0,GH₵ 45,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 5+ years on Jiji","Ant-Gel is a powerful insecticidal bait that attracts and eliminates ants at the source, stopping...",https://jiji.com.gh/tema-metropolitan/household-chemicals/ant-killing-gel-bait-nBcQ5lI2WDbVpej8Xr5Kqqei.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Nasco 76ltrs Table Top Refrigerator,1199.0,"GH₵ 1,199",Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji","Nasco 76Ltrs Table Top Refrigerator
NASF1-95FL
76 Liters
Manual Defrost
Low Noise
Direct...",https://jiji.com.gh/kokomlemle/kitchen-appliances/nasco-76ltrs-table-top-refrigerator-wgueE5SHAuaYuhjnqFjabvfn.html,Jiji Ghana (jiji.com.gh),2026-04-20
