column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
year_on_year_iip_change_manufacture_of_leather_and_related_products,Year On Year Iip Change Manufacture Of Leather And Related Products,,float64,,3.9,4,26.7%
year_on_year_iip_change_manufacture_of_wood_and_of_products_of_wood_and_cork,Year On Year Iip Change Manufacture Of Wood And Of Products Of Wood And Cork,,float64,,6.3,4,26.7%
year_on_year_iip_change_manufacture_of_paper_and_paper_products,Year On Year Iip Change Manufacture Of Paper And Paper Products,,float64,,5.9,4,26.7%
year_on_year_iip_change_printing_and_reproduction_of_recorded_media,Year On Year Iip Change Printing And Reproduction Of Recorded Media,,float64,,9.7,4,26.7%
year_on_year_iip_change_manufacture_of_coke_and_refined_petroleum_products,Year On Year Iip Change Manufacture Of Coke And Refined Petroleum Products,,float64,,6.6,4,26.7%
year_on_year_iip_change_manufacture_of_chemicals_and_chemical_products,Year On Year Iip Change Manufacture Of Chemicals And Chemical Products,,float64,,0.2,4,26.7%
year_on_year_iip_change_manufacture_of_pharmaceuticals_medicinal_chemical_and_botanical_products,Year On Year Iip Change Manufacture Of Pharmaceuticals Medicinal Chemical And Botanical Products,,float64,,6.3,4,26.7%
year_on_year_iip_change_manufacture_of_rubber_and_plastics_products,Year On Year Iip Change Manufacture Of Rubber And Plastics Products,,float64,,-6.7,4,26.7%
year_on_year_iip_change_manufacture_of_other_non_metallic_mineral_products,Year On Year Iip Change Manufacture Of Other Non Metallic Mineral Products,,float64,,3.1,4,26.7%
year_on_year_iip_change_manufacture_of_basic_metals,Year On Year Iip Change Manufacture Of Basic Metals,,float64,,8.9,4,26.7%
year_on_year_iip_change_manufacture_of_fabricated_metal_products_except_machinery_and_equipment,Year On Year Iip Change Manufacture Of Fabricated Metal Products Except Machinery And Equipment,,float64,,8.2,4,26.7%
year_on_year_iip_change_manufacture_of_computer_electronic_and_optical_products,Year On Year Iip Change Manufacture Of Computer Electronic And Optical Products,,float64,,3.1,4,26.7%
year_on_year_iip_change_manufacture_of_electrical_equipment,Year On Year Iip Change Manufacture Of Electrical Equipment,,float64,,8.7,4,26.7%
year_on_year_iip_change_manufacture_of_machinery_and_equipment_n.e.c.,Year On Year Iip Change Manufacture Of Machinery And Equipment N.E.C.,,float64,,15.7,4,26.7%
year_on_year_iip_change_manufacture_of_motor_vehicles_trailers_and_semi_trailers,Year On Year Iip Change Manufacture Of Motor Vehicles Trailers And Semi Trailers,,float64,,-15.2,4,26.7%
year_on_year_iip_change_manufacture_of_other_transport_equipment,Year On Year Iip Change Manufacture Of Other Transport Equipment,,float64,,2.5,4,26.7%
