dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Eco Efficient Westpool Wp 100a Energetic System,2200.0,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Cyclonia Iron,400.0,Brand New,Greater Accra,Burma Camp,"Greater Accra, Burma Camp",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Modern Bed Frame,1300.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nasco 158ltr Double Door Refrigerator,2599.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Unque TCL 608L Side-by-Side Refrigerator P650SBN,11999.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,True,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",German Chef 6in1 Multi Blender,550.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Affordable Nasco 4 Burner Gas Cooker Oven - Nasgc-50x50b-CTZ,1649.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Rafiq 50 X 50 Burner With Oven And Grill Plus Automatic Ignition,1550.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Pearl 215 Litre Bottom Freezer Refrigerator,4199.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Aquatab - Fda Approved,220.0,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Pearl 80*60 5burner Gas Cooker Oven + Grill,3199.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Foldable Drying Line,550.0,,Greater Accra,Lapaz,"Greater Accra, Lapaz",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Rust Free SAMSUNG-9KG-TWIN-TOP-SEMI-AUTOWASHER-WASHINGMACHIN,3999.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",High Quality 7.5kg Washing Machine With Shoe Washer,1200.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Grass Carpet Installation,220.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",LG 254 Litres Double Door Refrigerator GN-G272SLCB,8999.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Galaxy 85liter Table Top Double Door Refrigerator,1399.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Big Freeze Pearl 254l Chest Freezer,3800.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Artificial Palm Plant With Pot (130cm),450.0,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",,,False,Platform B,Bulk prices
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Bed With Mattress,1260.0,Brand New,Greater Accra,Kwashieman,"Greater Accra, Kwashieman",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Quality Nasco 86 Litres Table Top Refrigerator,1650.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Hi-Yield Snake Repellent Powder,450.0,,Greater Accra,Adenta,"Greater Accra, Adenta",,,False,Platform B,
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Quality Nasco 4 Burner Gas Cooker Oven - Nasgc-50x50s-CTZ,1699.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nexus Washing Machine 9kg Fully Automatic,2980.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",4fit Carbinet,900.0,Brand New,Greater Accra,Nungua,"Greater Accra, Nungua",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",US Igloo Ice Chest 142 Litres,2450.0,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Used
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Redefining Comfort in Every Season With Sigma 1.5hp Mirror Ac,4000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,"Brand New, No"
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Nasco 135ltr Top Mount Refrigerator Nasf2-18kd,3199.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Raf Strong Corded Vacuum Cleaner for All Cleaning,698.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",Crompton Aura Ceiling Fans Best Prices In Ghana 🇬🇭,430.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Brand New
"SG Market Price Index – Home, Furniture & Appliances","SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,"Home, Furniture & Appliances",LG Washing Machine,2600.0,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,,False,Platform B,Used
