dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Ring Light,180.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Brand new 10inches ring light at a wholesale price of 180gh,we have 12inches 240gh ,13inches...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Samsung Galaxy S20 128 GB Black,2350.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Power of the Galaxy S20: Get next-level power for everything you love to do with Samsung Galaxy 5G;...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Smart Watch Ultra 2,75.0,Brand New,Greater Accra,Nungua,"Greater Accra, Nungua",,"Display: A large 2.05-inch display for clear visibility and easy navigation.
Design: The watch has a...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Chargemaster iPhone Type C Fast Charger,150.0,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman","Verified ID, 3+ years on Jiji","Authentic And Durable Type C To iPhone Fast Charger 
New In Box 
Delivery Within Accra At A Cost",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad Air 2 16 GB,1500.0,Used,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji","IPad Air 2 
Software Version 15.8.6 
16gb Storage 
WiFi only",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New OnePlus Pad Go 128 GB Black,4500.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",Verified ID,"OnePlus Pad Go 2 is a 12.1′′ Android tablet with a vibrant 2.8K 120 Hz IPS display, MediaTek...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad (2022) 64 GB Blue,3600.0,Used,Greater Accra,North Legon,"Greater Accra, North Legon","Verified ID, 5+ years on Jiji","Apple iPad (10th Generation) 
Year : 2022 
Blue 
Strong Battery",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Samsung Galaxy Tab A9+ 64 GB Gray,2699.0,Used,Greater Accra,Kaneshie,"Greater Accra, Kaneshie","Verified ID, 5+ years on Jiji","Samsung Galaxy Tab A9+
4gb/64gig",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Idino Notebook Mac Pro 16 GB Gray,1300.0,Brand New,Greater Accra,East Legon,"Greater Accra, East Legon",Verified ID,"10.1 inch screen
1080p resolution,
16gb+512gb
REAL STORAGE 64GB/ 3GB RAM
Android tab",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,H19 Smartwatch,1050.0,Brand New,Brong Ahafo,Sunyani Municipal,"Brong Ahafo, Sunyani Municipal","Verified ID, 5+ years on Jiji","The H19 is a powerful performance smartwatch with every feature you need, encompassing Chat GPT AI,...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Quality Smart Watch,675.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",5+ years on Jiji,"This smart watch can connect with all An-droid and iOS mobile phones, such as iphone 7, iphone 7...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Google Pixel 7a 128 GB Black,2600.0,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Verified ID,"Google pixel 7a
THIS is original new inbox sealed... cones with its original accessories... get 1...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad Air 2 64 GB Black,1500.0,Used,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 5+ years on Jiji",Neat IPad Air 2 WiFi only with strong battery life going for a cool price,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad Pro (2022) 128 GB Silver,6500.0,Used,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 3+ years on Jiji", Apple iPad Pro M2 (4th Generation) WiFi + Cellular 128GB USA Used Slightly Cracked ,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,360° Rotation Tripod Phone Holder,45.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Tripod phone mount 360 ° swivle adjusting to your need:- this tripod mount holder has a 360 degree...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Desktop Phone Holder,50.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Desktop phone holder,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Kelv Charger,100.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Verified ID,The all new powerful charger from KELV gives you absolute power to your phone in no time. The head...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPhone 14 Pro 128 GB White,6050.0,Used,Greater Accra,Mataheko,"Greater Accra, Mataheko",Verified ID,"IPhone 14 Pro Available
Excellent condition, UK used, no cracks, no scratches. 
Face ID
Long lasting...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Samsung Galaxy S23 Ultra 256 GB Green,6500.0,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",Verified ID,"Meet the new Green Galaxy S23 Ultra, designed with the planet in mind and equipped with a built-in S...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 128 GB,1300.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Verified ID,"Grab your quality and affordable R16 Adult Tablet Android 13 at cool prices 
It comes with Warranty...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Anti-sweat Finger Sleeve Gaming,25.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Anti-sweat Finger Sleeve Gaming Thumb for Mobile Phone Games Touch Finger Case Game Controller...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,iPhone 16 Pro Max Heavy Duty Case,680.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,IPhone 16 Pro Max 6.9 inch Dropproof DustProof Strong Durable Heavy Duty Full Body Rugged 3-Layer...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 512 GB Black,1450.0,Brand New,Greater Accra,Kwashieman,"Greater Accra, Kwashieman","Verified ID, 5+ years on Jiji","10.1 inches
512gb 16gb Ram
Contains Mouse, keyboard, and S Pen",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple Watch Series 7 45mm,2300.0,Used,Greater Accra,Lapaz,"Greater Accra, Lapaz",Verified ID,"Apple Watch Series by 7 45mm
GPS and Cellular 
Aluminum 
Blue also available",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Samsung Galaxy A17 128 GB Gray,1950.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,All new Samsung Galaxy a17. It comes with a powerful power bank as promo,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Apple iPad 9.7 16 GB Gray,999.0,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Home used ipad Available 
Cool price054*********
No hidden faults 
Strong battery",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Live Broadcast Video Making Kit,180.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"AY-49x video kit, in stock quality and reliable support 2 videos light durable and reliable",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 256 GB,900.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"Smart box A50 kids tarblet 10 Inches screen size 
 * Support SIM card and wifi connection 
 * It has...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,"Anker 3-in-1 Ultra Fast Charger 67w, 3 Ports",280.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Ports: Features 2 USB-C ports and 1 USB-A port.
Power: Delivers up to 67W of power, suitable for...",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Tablet 1 TB,1499.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Upgrade your digital life with the powerhouse Fsudz FPB-004 Max. Whether you’re handling...,False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,New Apple iPad Wi-Fi 128 GB,4600.0,Brand New,Greater Accra,Kwashieman,"Greater Accra, Kwashieman","Verified ID, 5+ years on Jiji","Ipad A16 
Brand New
Comes with Charger
Not in Box",False,Platform A,
SG Market Price Index – Mobile Phones & Tablets,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Mobile Phones & Tablets,Importer 80000 Solar Power Bank,325.0,Brand New,Greater Accra,Bubuashie,"Greater Accra, Bubuashie",Verified ID,High quality 80000 solar power bank,False,Platform A,
