dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Display Port to Hdmi Converter,55.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,Dp to hdmi converter is available,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Sleeve Case For Macbook Pro 14-inch (2021-2025) Leather Folio Cover,600.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Specifically designed for MacBook Pro 14 Inch 2021 - 2025 Models 
Macbook Sleeve Case Cover -...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Asus Tuf Z470-Plus Gaming,1500.0,Brand New,Greater Accra,Santa Maria,"Greater Accra, Santa Maria","Verified ID, 5+ years on Jiji",ASUS TUF Z470-PLUS GAMING motherboards available,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,"15.6"" Laptop Screen",450.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 5+ years on Jiji","15.6"" super slim 30pins small connector",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Hdmi Cable 10m,45.0,Brand New,Greater Accra,Tesano,"Greater Accra, Tesano",5+ years on Jiji,"10 meters flat hdmi cable high 
supports 1080p and 3d",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Hdmi Cable 50m,350.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,HDMI Cable,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Walkie Talkie Headset,180.0,Brand New,Greater Accra,Spintex,"Greater Accra, Spintex","Verified ID, 3+ years on Jiji",It's a brand new walkie talkie headphones,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Writing and Drawing Pads,1450.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina",5+ years on Jiji,"Wacom Intuos Small Bluetooth Graphics Drawing Tablet, Portable for Teachers, Students and Creators,...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Hikvision Smart-Ups 2000va / 1200w Backup Series Ups 2000va,1400.0,Brand New,Greater Accra,Tesano,"Greater Accra, Tesano",,Hikvision Backup Series UPS (Uninterruptible Power Supply) units. These devices provide temporary...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Media 7 Plus Sound Bar and Speaker .,750.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Quality and heavy sound system with a sound bar and base speaker, has Bluetooth connectivity call or...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Ram 8gig Ddr3l,250.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji",Kingston technology kvr16ls11/8 8gb 1600mhz ddr3l (pc3-12800) 1.35v non-ecc cl11 sodimm intel laptop...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Mini Display Port to HDMI Converter,70.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Mini display port to HDMI adapter mini dp (Thunderbolt compatible) to HDMI 4kx2k converter...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,M9 Plus Anycast,100.0,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",5+ years on Jiji,"Display your phone one your television, very clear and nice, call for your best product delivery...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Dvi to Hdmi Converter,50.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,DVI- HDMI converter available,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Westa 2u Network Cctv Cabinet / Rack,240.0,,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Designed for DVR/NVR Storage
For 4 channels and 8 channels
Side pannels , top and down ventilation...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,USB To VGA,50.0,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",5+ years on Jiji,"3.0 usb to vga adaptor, help to convert your usb space to a vga slot with high speed, fast delivery...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,15.6 Superslim Laptop Screen,380.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,Quality brand-new laptop screen,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Ps4 Jailbreak Jb Lapse (9.00 - 12.52),90.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,"Call or whatsapp the second number
Location is madina rawlings circle 
This exploit works up to...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Apple Pencil,600.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"Apple Pencil sets the standard for how drawing, note‐taking, and marking up documents should feel —...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,1.8m HDMI to VGA,80.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",3+ years on Jiji,HDMI to VGA cable 1.8m,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Lenovo 500 Full Hd Usb Webcam,850.0,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",The Lenovo 500 FHD Webcam (4XC0V13599) is a USB Video Class (UVC) compliant video camera designed...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Ghana Ups Power,20000.0,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",Verified ID,"Online UPS 6KVA-10KVA Single Phase Low Frequency054*********
CHENGWEN Online 1P/1P UPS is the...",True,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,12v/7ah Ups Battery 20hr Ak Original 12v7ah,140.0,Brand New,Greater Accra,Kasoa,"Greater Accra, Kasoa",,12v7ah battery A 12-volt 7 amp-hour (12V 7Ah) battery is a type of rechargeable battery commonly...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,16gb Ddr4 Memory,600.0,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,"16gb Ddr4 memory 
Original Quality",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Audio Technica At2020 Studio Microphone,1450.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","The Audio-Technica AT2020 is a highly popular, budget-friendly cardioid condenser microphone...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Lenovo Usb Adapter,70.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"Lenovo USB Power Adapter / Charger
Keep your devices powered up with the Lenovo USB Power Adapter....",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Sigma 18-35mm F1.8 Dc //Canon Ef // 6 Months Warranty,4400.0,Used,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji","Sigma 18-35mm f1.8 dc //canon ef mount
= 
physical appearance: excellent 
what you get 
= 
lens...",True,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Fridge Guard,80.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",,"This is a fridge guard Voltage protection against voltage fluuctuations 13amps 
* Under voltage and...",False,Platform A,
