source,last_updated,period,interbank_exchange_rate_us_dollar_usd,interbank_exchange_rate_pound_sterling_gbp,interbank_exchange_rate_euro,forex_bureau_exchange_rate_us_dollar_usd,forex_bureau_exchange_rate_pound_sterling_gbp,forex_bureau_exchange_rate_euro
Ghana Statistical Service (GSS StatsBank),2026-04-20,1994-04,0.09,0.14,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1994-03,0.09,0.14,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1994-02,0.09,0.14,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1994-01,0.08,0.12,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-12,0.08,0.12,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-11,0.07,0.11,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-10,0.07,0.1,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-09,0.07,0.1,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-08,0.07,0.1,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-07,0.07,0.1,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-06,0.06,0.09,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-05,0.06,0.09,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-04,0.06,0.09,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-03,0.06,0.09,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-02,0.06,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1993-01,0.05,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-12,0.05,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-11,0.05,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-10,0.05,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-09,0.05,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-08,0.04,0.09,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-07,0.04,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-06,0.04,0.08,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-05,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-04,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-03,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-02,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1992-01,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-12,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-11,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-10,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-09,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-08,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-07,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-06,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-05,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-04,0.04,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-03,0.04,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-02,0.03,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1991-01,0.03,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-12,0.03,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-11,0.03,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-10,0.03,0.07,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-09,0.03,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-08,0.03,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-07,0.03,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-06,0.03,0.06,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-05,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-04,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-03,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-02,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1990-01,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-12,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-11,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-10,0.03,0.05,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-09,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-08,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-07,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-06,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-05,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-04,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-03,0.03,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-02,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1989-01,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-12,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-11,0.02,0.02,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-10,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-09,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-08,0.02,0.04,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-07,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-06,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-05,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-04,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-03,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-02,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1988-01,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-12,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-11,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-10,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-09,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-08,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-07,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-06,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-05,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-04,0.02,0.03,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-03,0.02,0.02,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-02,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1987-01,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-12,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-11,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-10,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-09,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-08,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-07,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-06,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-05,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-04,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-03,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-02,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1986-01,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-12,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-11,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-10,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-09,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-08,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-07,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-06,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-05,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-04,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-03,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-02,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1985-01,0.01,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-12,0.0,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-04,0.0,0.01,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1984-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1983-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1982-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1981-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1980-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1979-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1978-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1977-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1976-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1975-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1974-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-06,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-05,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-04,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-03,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-02,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1973-01,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-12,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-11,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-10,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-09,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-08,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-07,0.0,0.0,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,1972-06,0.0,0.0,,,,
