source,last_updated,period,value_in_ghana_cedis_total_revenue_and_grants,value_in_ghana_cedis_domestic_revenue,value_in_ghana_cedis_tax_revenue,value_in_ghana_cedis_taxes_on_income_and_property_direct,value_in_ghana_cedis_company_taxes,value_in_ghana_cedis_company_taxes_on_oil,value_in_ghana_cedis_other_direct_taxes,value_in_ghana_cedis_taxes_on_domestic_goods_and_services_indirect,value_in_ghana_cedis_vat,value_in_ghana_cedis_international_trade_taxes,value_in_ghana_cedis_import_duties,value_in_ghana_cedis_grants,value_in_ghana_cedis_total_expenditure,value_in_ghana_cedis_compensation_of_employees,value_in_ghana_cedis_interest_payments,value_in_ghana_cedis_grants_to_other_government_units,value_in_ghana_cedis_capital_expenditure,value_in_ghana_cedis_overall_balance_incl_divestiture_and_discrepancy,value_in_ghana_cedis_financing,value_in_ghana_cedis_foreign_financing_net,value_in_ghana_cedis_domestic_financing_net,percentage_of_annual_gdp_total_revenue_and_grants,percentage_of_annual_gdp_domestic_revenue,percentage_of_annual_gdp_tax_revenue,percentage_of_annual_gdp_taxes_on_income_and_property_direct,percentage_of_annual_gdp_company_taxes,percentage_of_annual_gdp_company_taxes_on_oil,percentage_of_annual_gdp_other_direct_taxes,percentage_of_annual_gdp_taxes_on_domestic_goods_and_services_indirect,percentage_of_annual_gdp_vat,percentage_of_annual_gdp_international_trade_taxes,percentage_of_annual_gdp_import_duties,percentage_of_annual_gdp_grants,percentage_of_annual_gdp_total_expenditure,percentage_of_annual_gdp_compensation_of_employees,percentage_of_annual_gdp_interest_payments,percentage_of_annual_gdp_grants_to_other_government_units,percentage_of_annual_gdp_capital_expenditure,percentage_of_annual_gdp_overall_balance_incl_divestiture_and_discrepancy,percentage_of_annual_gdp_financing,percentage_of_annual_gdp_foreign_financing_net,percentage_of_annual_gdp_domestic_financing_net
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-06,9242213617.4,8917389540.5,7346133773.7,4333532556.1,1443720919.2,832107561.1,1428747772.1,2580441296.7,1266293524.9,787370143.3,787370143.3,324824076.8,13742308117.7,3056668819.1,2627214100.0,2391522235.5,2976334575.1,-4052589149.3,4052589149.3,1720997625.1,2939395300.0,1.5,1.5,1.2,0.7,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.1,2.2,0.5,0.4,0.4,0.5,-0.7,0.7,0.3,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-05,6049767534.0,6028709307.0,4985363104.8,1856342353.0,676315777.9,0.0,230408705.0,2634229236.4,1320025902.8,794966415.4,794966415.4,21058227.0,11253238359.8,3057015300.8,3936081800.0,1489593346.2,1157378261.4,-5949485133.4,5949485133.4,116170933.4,5833314200.0,1.0,1.0,0.8,0.3,0.1,0.0,0.0,0.4,0.2,0.1,0.1,0.0,1.8,0.5,0.6,0.2,0.2,-1.0,1.0,0.0,0.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-04,8798251454.5,8713654767.9,6423129738.4,3692939812.5,1372608578.1,507231017.1,421710706.1,2388165618.8,1152764536.4,712015109.6,712015109.6,84596686.7,10437451812.7,3038650703.7,2982859000.0,2306837200.3,1370926805.2,-3759368848.7,3759368848.7,594825076.4,2892529800.0,1.4,1.4,1.0,0.6,0.2,0.1,0.1,0.4,0.2,0.1,0.1,0.0,1.7,0.5,0.5,0.4,0.2,-0.6,0.6,0.1,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-Q1,17737707364.1,35066856266.4,12998842121.7,5803378814.7,2596698079.8,91082820.2,909898962.1,6073170733.9,3037727913.7,1863348080.6,1863348080.6,204279230.9,31431317095.8,8608849214.5,10926499200.0,5042108795.2,3702449861.6,-17745663091.7,17745663091.7,1231305202.4,16459131400.0,2.9,5.7,2.1,0.9,0.4,0.0,0.1,1.0,0.5,0.3,0.3,0.0,5.1,1.4,1.8,0.8,0.6,-2.9,2.9,0.2,2.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-03,7054972138.6,6951212484.0,5536543147.5,2635681416.1,1580282832.5,0.0,331220571.2,2530680772.1,1243662511.6,718593271.3,718593271.3,103759654.7,11503186366.0,2801773193.5,4060054500.0,1665601200.0,1680280265.4,-6922782220.7,6922782220.7,809162620.7,6113619600.0,1.1,1.1,0.9,0.4,0.3,0.0,0.1,0.4,0.2,0.1,0.1,0.0,1.9,0.5,0.7,0.3,0.3,-1.1,1.1,0.1,1.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-02,5466962070.8,5418979484.4,3951551169.1,1655949264.0,462450766.1,0.0,295426879.8,1977104128.1,1036428369.3,539387525.5,539387525.5,47982586.4,9698942831.9,2896099159.2,3060110500.0,1782037263.0,1350332932.8,-2152468237.3,2152468237.3,256121319.5,2602536400.0,0.9,0.9,0.6,0.3,0.1,0.0,0.0,0.3,0.2,0.1,0.1,0.0,1.6,0.5,0.5,0.3,0.2,-0.3,0.3,0.0,0.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-01,5215773154.7,5163236164.8,3510747805.1,1511748134.7,553964481.1,91082820.2,283251511.2,1565385833.7,757637032.8,605367283.8,605367283.8,52536989.9,10229187897.9,2910976861.7,3806334200.0,1594470332.2,671836663.4,-8670412633.7,8670412633.7,166021262.2,7742975400.0,0.8,0.8,0.6,0.2,0.1,0.0,0.0,0.3,0.1,0.1,0.1,0.0,1.7,0.5,0.6,0.3,0.1,-1.4,1.4,0.0,1.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021,70096526873.3,137828617691.0,56533098539.9,27971421192.1,13065558917.2,933178662.6,13972683612.2,24733515247.4,12480075969.9,6944850258.4,6944850258.4,1182218027.8,109275888611.0,31663289349.6,33522585720.7,13511746291.7,16967061433.5,-42354660871.1,42354660871.1,20082070079.3,21987770700.7,15.2,29.9,12.2,6.1,2.8,0.2,3.0,5.4,2.7,1.5,1.5,0.3,23.7,6.9,7.3,2.9,3.7,-9.2,9.2,4.3,4.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-Q4,20988498130.8,41444415268.3,18178820777.8,9736198334.0,5754317741.0,0.0,3981880593.0,7521743082.0,3915179710.4,1994182080.6,1994182080.6,266290496.6,31691585689.7,8269635710.4,8157396632.6,3385869388.3,6528315647.1,-9677344970.9,9677344970.9,5962426304.4,1935438666.5,4.5,9.0,3.9,2.1,1.2,0.0,0.9,1.6,0.8,0.4,0.4,0.1,6.9,1.8,1.8,0.7,1.4,-2.1,2.1,1.3,0.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-12,9159547902.8,8978897269.0,8306988184.6,5091397429.0,3073221351.7,0.0,2018176077.3,2992951330.5,1565479428.9,722850235.5,722850235.5,180650633.9,10730620047.8,2974179948.8,2253598604.5,1035342472.9,2520703636.6,-817888094.1,817888094.1,5692092762.9,-6653684668.8,2.0,1.9,1.8,1.1,0.7,0.0,0.4,0.6,0.3,0.2,0.2,0.0,2.3,0.6,0.5,0.2,0.5,-0.2,0.2,1.2,-1.4
