source,last_updated,period,value_in_ghana_cedis_total_revenue_and_grants,value_in_ghana_cedis_domestic_revenue,value_in_ghana_cedis_tax_revenue,value_in_ghana_cedis_taxes_on_income_and_property_direct,value_in_ghana_cedis_company_taxes,value_in_ghana_cedis_company_taxes_on_oil,value_in_ghana_cedis_other_direct_taxes,value_in_ghana_cedis_taxes_on_domestic_goods_and_services_indirect,value_in_ghana_cedis_vat,value_in_ghana_cedis_international_trade_taxes,value_in_ghana_cedis_import_duties,value_in_ghana_cedis_grants,value_in_ghana_cedis_total_expenditure,value_in_ghana_cedis_compensation_of_employees,value_in_ghana_cedis_interest_payments,value_in_ghana_cedis_grants_to_other_government_units,value_in_ghana_cedis_capital_expenditure,value_in_ghana_cedis_overall_balance_incl_divestiture_and_discrepancy,value_in_ghana_cedis_financing,value_in_ghana_cedis_foreign_financing_net,value_in_ghana_cedis_domestic_financing_net,percentage_of_annual_gdp_total_revenue_and_grants,percentage_of_annual_gdp_domestic_revenue,percentage_of_annual_gdp_tax_revenue,percentage_of_annual_gdp_taxes_on_income_and_property_direct,percentage_of_annual_gdp_company_taxes,percentage_of_annual_gdp_company_taxes_on_oil,percentage_of_annual_gdp_other_direct_taxes,percentage_of_annual_gdp_taxes_on_domestic_goods_and_services_indirect,percentage_of_annual_gdp_vat,percentage_of_annual_gdp_international_trade_taxes,percentage_of_annual_gdp_import_duties,percentage_of_annual_gdp_grants,percentage_of_annual_gdp_total_expenditure,percentage_of_annual_gdp_compensation_of_employees,percentage_of_annual_gdp_interest_payments,percentage_of_annual_gdp_grants_to_other_government_units,percentage_of_annual_gdp_capital_expenditure,percentage_of_annual_gdp_overall_balance_incl_divestiture_and_discrepancy,percentage_of_annual_gdp_financing,percentage_of_annual_gdp_foreign_financing_net,percentage_of_annual_gdp_domestic_financing_net
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-Q1,14713090761.0,28301208492.3,11618705110.5,5168555618.3,2337806266.1,237009386.4,2593739965.8,5491990119.7,2481916367.3,1515125153.7,1515125153.7,562486514.8,23027771515.1,6934384846.5,8266476078.9,3047744901.9,3551065025.5,-9426823045.7,9426823045.7,476210473.8,9073358241.7,3.2,6.1,2.5,1.1,0.5,0.1,0.6,1.2,0.5,0.3,0.3,0.1,5.0,1.5,1.8,0.7,0.8,-2.0,2.0,0.1,2.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-03,6217853458.8,6080613485.6,5385702970.2,2108982552.6,1205584451.7,0.0,903398100.9,2891527921.4,1076769473.6,588202262.5,588202262.5,137239973.2,9124795801.4,2367116839.9,3574390629.7,814349506.0,1973509540.9,-4567077153.1,4567077153.1,523200582.0,4043876571.1,1.3,1.3,1.2,0.5,0.3,0.0,0.2,0.6,0.2,0.1,0.1,0.0,2.0,0.5,0.8,0.2,0.4,-1.0,1.0,0.1,0.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-02,3740164915.8,3635094518.1,2783072393.1,1240068115.3,373510317.3,0.0,866557798.1,1252009121.9,738082347.5,463933459.2,463933459.2,105070397.7,7155406090.9,2284148052.3,2341634460.4,1240738624.3,833353797.5,-2641807004.0,2641807004.0,-352581706.4,2994388710.4,0.8,0.8,0.6,0.3,0.1,0.0,0.2,0.3,0.2,0.1,0.1,0.0,1.6,0.5,0.5,0.3,0.2,-0.6,0.6,-0.1,0.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-01,4755072386.4,4434896242.4,3449929747.2,1819504950.3,758711497.1,237009386.4,823784066.8,1348453076.4,667064546.2,462989432.1,462989432.1,320176144.0,6747569622.7,2283119954.3,2350450988.8,992656771.5,744201687.1,-2217938888.5,2217938888.5,305591598.2,2035092960.2,1.0,1.0,0.7,0.4,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.1,1.5,0.5,0.5,0.2,0.2,-0.5,0.5,0.1,0.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020,55138214396.1,107819033980.4,44447772183.5,23728561925.2,11425718580.0,950996081.9,11351847263.3,17792087110.1,9207493065.3,5513806052.5,5513806052.5,1228697405.9,96410209252.6,28268934890.0,24599258892.5,11881955124.1,12082873131.0,-44897876597.9,44897876597.9,31247912.2,45643042428.9,14.1,27.5,11.3,6.1,2.9,0.2,2.9,4.5,2.3,1.4,1.4,0.3,24.6,7.2,6.3,3.0,3.1,-11.5,11.5,0.0,11.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-Q4,17693124636.3,34642277232.6,14655164458.3,8720996840.9,4788745227.4,454781638.2,3477469975.3,5111244544.7,2708012391.9,1666566365.1,1666566365.1,371986020.0,25219559333.5,7820948775.2,5773619475.6,2624252640.6,3104512209.6,-12027358411.7,12027358411.7,-1785117866.7,14067884917.8,4.5,8.8,3.7,2.2,1.2,0.1,0.9,1.3,0.7,0.4,0.4,0.1,6.4,2.0,1.5,0.7,0.8,-3.1,3.1,-0.5,3.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-12,7463786047.5,7296178970.1,6600735789.1,4652696467.2,3127192249.5,158511241.3,1366992976.4,1820418840.9,988591018.5,556392587.9,556392587.9,167607077.5,8978616557.0,2446361726.5,1714408407.0,595717990.5,1478761148.8,-3231304275.8,3231304275.8,-548798764.3,3823675614.3,1.9,1.9,1.7,1.2,0.8,0.0,0.3,0.5,0.3,0.1,0.1,0.0,2.3,0.6,0.4,0.2,0.4,-0.8,0.8,-0.1,1.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-11,5166481088.4,5114893593.9,4095458596.7,2165039422.8,941137699.1,279293680.5,944608043.2,1564606318.9,819185248.4,545177002.7,545177002.7,51587494.5,8604899793.6,3056890436.2,2501897997.8,718515248.3,611464901.6,-4139213370.0,4139213370.0,-910471324.5,5231191682.4,1.3,1.3,1.0,0.6,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.0,2.2,0.8,0.6,0.2,0.2,-1.1,1.1,-0.2,1.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-10,5062857500.4,4910066052.4,3958970072.5,1903260950.9,720415278.7,16976716.4,1165868955.7,1726219385.0,900236125.0,564996774.6,564996774.6,152791448.0,7636042982.9,2317696612.5,1557313070.7,1310019401.8,1014286159.2,-4656840765.9,4656840765.9,-325847777.9,5013017621.1,1.3,1.3,1.0,0.5,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,1.9,0.6,0.4,0.3,0.3,-1.2,1.2,-0.1,1.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-Q3,13498925612.6,26649940809.9,10610104747.0,4915447428.7,2508938383.0,18103401.0,2388405644.6,4857888550.2,2453216628.1,1546052530.3,1546052530.3,173955207.6,24649704609.1,6980147600.6,6769949417.9,3112172803.7,2878941947.1,-8257894838.9,8257894838.9,-1383124259.2,9719438699.4,3.4,6.8,2.7,1.3,0.6,0.0,0.6,1.2,0.6,0.4,0.4,0.0,6.3,1.8,1.7,0.8,0.7,-2.1,2.1,-0.4,2.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-09,4856632607.7,4744655586.1,3878598081.3,1871387584.9,1287629426.4,0.0,583758158.5,1714058838.5,867845819.1,513082711.4,513082711.4,111977021.7,8545810108.7,2446577021.1,2436762987.6,891645673.1,1300590800.0,-783992825.3,783992825.3,-1312267323.3,2126084634.2,1.2,1.2,1.0,0.5,0.3,0.0,0.1,0.4,0.2,0.1,0.1,0.0,2.2,0.6,0.6,0.2,0.3,-0.2,0.2,-0.3,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-08,3986024809.2,3929464357.9,3014423017.8,1082776966.5,392682888.2,0.0,690094078.3,1611910753.1,783362570.4,522539094.9,522539094.9,56560451.3,7826559687.8,2248772585.5,2230133814.7,856828938.9,893598710.9,-2954098102.5,2954098102.5,177777586.0,2796621069.4,1.0,1.0,0.8,0.3,0.1,0.0,0.2,0.4,0.2,0.1,0.1,0.0,2.0,0.6,0.6,0.2,0.2,-0.8,0.8,0.0,0.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-07,4656268195.6,4650850461.0,3717083647.9,1961282877.3,828626068.5,18103401.0,1114553407.8,1531918958.6,802008238.7,510430724.1,510430724.1,5417734.6,8277334812.6,2284797994.1,2103052615.6,1363698191.7,684752436.2,-4519803911.2,4519803911.2,-248634521.8,4796732995.8,1.2,1.2,0.9,0.5,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,2.1,0.6,0.5,0.3,0.2,-1.2,1.2,-0.1,1.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-Q2,11951108977.4,23250225694.1,9701109919.8,5311088385.6,2198082330.0,200066245.9,2912939809.7,3845048799.3,2019566346.3,1111755298.9,1111755298.9,325996130.4,23555395336.9,6968030552.0,5646551129.9,2717700675.9,2841978280.0,-10396307396.5,10396307396.5,-1835011582.7,12420147437.6,3.0,5.9,2.5,1.4,0.6,0.1,0.7,1.0,0.5,0.3,0.3,0.1,6.0,1.8,1.4,0.7,0.7,-2.7,2.7,-0.5,3.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-06,3953978092.7,3820326314.0,3183321844.1,1695762027.9,1015898934.6,0.0,679863093.4,1353495133.8,666127370.5,344386201.5,344386201.5,133651778.7,8863616309.5,2310258562.2,1797998864.4,771560221.3,986687292.9,-4912966767.4,4912966767.4,-397608247.1,5330557886.2,1.0,1.0,0.8,0.4,0.3,0.0,0.2,0.3,0.2,0.1,0.1,0.0,2.3,0.6,0.5,0.2,0.3,-1.3,1.3,-0.1,1.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-05,3659228101.8,3550255292.7,3073436502.5,1441315451.1,421209835.0,200066245.9,820039370.2,1342992709.2,744516975.1,441380337.8,441380337.8,108972809.0,6909925180.5,2403522148.0,2214371133.5,533591705.7,765444764.3,-4878814007.6,4878814007.6,-860602908.2,5812489521.6,0.9,0.9,0.8,0.4,0.1,0.1,0.2,0.3,0.2,0.1,0.1,0.0,1.8,0.6,0.6,0.1,0.2,-1.2,1.2,-0.2,1.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-04,4337902783.0,4254531240.3,3444351573.1,2174010906.6,760973560.5,0.0,1413037346.1,1148560956.4,608922000.6,325988759.5,325988759.5,83371542.6,7781853847.0,2254249841.8,1634181132.0,1412548748.9,1089846222.7,-604526621.4,604526621.4,-576800427.3,1277100029.8,1.1,1.1,0.9,0.6,0.2,0.0,0.4,0.3,0.2,0.1,0.1,0.0,2.0,0.6,0.4,0.4,0.3,-0.2,0.2,-0.1,0.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-Q1,11995055169.8,23276590243.7,9481393058.5,4781029270.1,1929952639.7,278044796.8,2573031833.6,3977905215.9,2026697699.0,1189431858.1,1189431858.1,356760047.9,22985549973.0,6499807962.1,6409138869.1,3427829003.9,3257440694.4,-14216315950.9,14216315950.9,5034501620.8,9435571374.2,3.1,5.9,2.4,1.2,0.5,0.1,0.7,1.0,0.5,0.3,0.3,0.1,5.9,1.7,1.6,0.9,0.8,-3.6,3.6,1.3,2.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-03,4011398786.4,3778163097.3,3211532083.0,1749853060.3,854673796.6,0.0,895179263.7,1203627570.3,645509877.2,393856463.1,393856463.1,233235689.0,9120311673.2,2139527383.1,2316792130.3,1104110556.4,1576632380.3,-7729109604.1,7729109604.1,236232963.2,7601350024.6,1.0,1.0,0.8,0.4,0.2,0.0,0.2,0.3,0.2,0.1,0.1,0.1,2.3,0.5,0.6,0.3,0.4,-2.0,2.0,0.1,1.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-02,3373924645.5,3297859770.6,2561977745.1,1119067590.5,421977719.1,0.0,697089871.4,1223817214.3,591587615.5,350867135.4,350867135.4,76064874.9,6661303030.8,2221522136.0,1281812356.1,1448266616.7,1002734781.9,-2793551352.4,2793551352.4,4971203295.4,-2177651943.1,0.9,0.8,0.7,0.3,0.1,0.0,0.2,0.3,0.2,0.1,0.1,0.0,1.7,0.6,0.3,0.4,0.3,-0.7,0.7,1.3,-0.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-01,4609731737.9,4562272253.9,3707883230.4,1912108619.3,653301124.0,278044796.8,980762698.6,1550460431.3,789600206.3,444708259.6,444708259.6,47459484.0,7203935269.0,2138758443.0,2810534382.7,875451830.7,678073532.3,-3693654994.4,3693654994.4,-172934637.9,4011873292.7,1.2,1.2,0.9,0.5,0.2,0.1,0.2,0.4,0.2,0.1,0.1,0.0,1.8,0.5,0.7,0.2,0.2,-0.9,0.9,0.0,1.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019,53379610096.9,104786973040.9,42774600946.1,22683103949.6,10567406384.8,925647651.6,11190049913.2,17151664589.8,9330102895.2,5410014396.9,5410014396.9,986123576.4,67856108798.5,22219027550.0,19769256893.9,11423598231.2,6151838213.1,-16891843383.1,16891843383.1,5041082480.7,13087154948.9,15.0,29.4,12.0,6.4,3.0,0.3,3.1,4.8,2.6,1.5,1.5,0.3,19.0,6.2,5.5,3.2,1.7,-4.7,4.7,1.4,3.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-Q4,16573405408.8,33011143938.3,13776467430.0,8487309040.4,4912702465.5,95957109.6,3478649465.3,4772988268.7,2730670646.6,1371307966.5,1371307966.5,67833439.6,14902623613.9,5639770583.6,5013599465.1,2371807001.9,712077782.6,-2381350862.3,2381350862.3,-1620836205.0,4316129696.1,4.6,9.3,3.9,2.4,1.4,0.0,1.0,1.3,0.8,0.4,0.4,0.0,4.2,1.6,1.4,0.7,0.2,-0.7,0.7,-0.5,1.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-12,8617573401.4,8607541687.0,7016269659.2,5044198387.6,3584728091.4,95957109.6,1363513186.6,1887485796.2,1226362098.9,511823419.6,511823419.6,10031714.3,4859371519.0,1806627511.6,1737479111.7,819612197.5,291330155.8,1236151555.3,-1236151555.3,-696906512.8,-404285222.7,2.4,2.4,2.0,1.4,1.0,0.0,0.4,0.5,0.3,0.1,0.1,0.0,1.4,0.5,0.5,0.2,0.1,0.3,-0.3,-0.2,-0.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-11,3797488938.7,3792390471.2,3240275219.8,1647741301.0,608528656.0,0.0,1039212645.0,1387210425.3,721614795.3,413828562.7,413828562.7,5098467.5,4881031191.9,1851284279.1,1871440900.0,807465947.6,127109922.8,-2416592816.0,2416592816.0,-472572679.7,2889165495.7,1.1,1.1,0.9,0.5,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,1.4,0.5,0.5,0.2,0.0,-0.7,0.7,-0.1,0.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-10,4158343068.7,4105639810.9,3519922551.0,1795369351.8,719445718.1,0.0,1075923633.6,1498292047.1,782693752.5,445655984.2,445655984.2,52703257.8,5162220903.0,1981858792.9,1404679453.3,744728856.9,293637704.0,-1200909601.5,1200909601.5,-451357012.5,1831249423.0,1.2,1.2,1.0,0.5,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,1.4,0.6,0.4,0.2,0.1,-0.3,0.3,-0.1,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-Q3,13201877824.5,25628577969.1,10214983882.7,5270501548.4,1988596470.3,210588574.6,3071316503.5,4212617842.1,2210534349.5,1268393810.5,1268393810.5,387588839.9,18680764460.2,5626973165.0,5947961493.5,3354428309.5,1746345658.1,-5805533872.5,5805533872.5,-3155504803.9,9383328831.2,3.7,7.2,2.9,1.5,0.6,0.1,0.9,1.2,0.6,0.4,0.4,0.1,5.2,1.6,1.7,0.9,0.5,-1.6,1.6,-0.9,2.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-09,4727632495.9,4539338450.9,3465239271.7,1903473870.6,913833735.1,210588574.6,779051560.9,1338940937.2,745717573.6,396233343.4,396233343.4,188294045.0,6497499340.8,1875794031.3,2396983101.7,1032670542.0,475385323.2,-3537959818.0,3537959818.0,-988335574.6,4607718392.1,1.3,1.3,1.0,0.5,0.3,0.1,0.2,0.4,0.2,0.1,0.1,0.1,1.8,0.5,0.7,0.3,0.1,-1.0,1.0,-0.3,1.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-08,4473679717.7,4310188860.4,3295175027.0,1588274452.5,458600303.3,0.0,1129674149.1,1438730002.8,756426723.5,423520424.5,423520424.5,163490857.3,5026062097.5,1851840643.8,1029182857.5,982711407.9,549969699.6,-605167465.7,605167465.7,-626890499.6,1548621317.9,1.3,1.2,0.9,0.4,0.1,0.0,0.3,0.4,0.2,0.1,0.1,0.0,1.4,0.5,0.3,0.3,0.2,-0.2,0.2,-0.2,0.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-07,4000565610.9,3964761673.2,3454569584.0,1778753225.3,616162431.8,0.0,1162590793.5,1434946902.0,708390052.4,448640042.6,448640042.6,35803937.6,7157203021.8,1899338489.9,2521795534.3,1339046359.5,720990635.2,-1662406588.8,1662406588.8,-1540278729.7,3226989121.2,1.1,1.1,1.0,0.5,0.2,0.0,0.3,0.4,0.2,0.1,0.1,0.0,2.0,0.5,0.7,0.4,0.2,-0.5,0.5,-0.4,0.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-Q2,12795110677.8,24908073010.0,10071904470.8,5271340450.5,2081779241.4,459602538.1,2729958671.1,4004074544.1,2098258849.9,1328203079.0,1328203079.0,341074172.9,19028522870.2,5568524053.6,5039816550.5,2786884399.0,2481387269.8,-6544242689.0,6544242689.0,-2236706851.7,9168198603.2,3.6,7.0,2.8,1.5,0.6,0.1,0.8,1.1,0.6,0.4,0.4,0.1,5.3,1.6,1.4,0.8,0.7,-1.8,1.8,-0.6,2.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-06,3707855300.5,3572334298.6,3040580627.8,1694186270.0,1023803685.2,0.0,670382584.8,1100880046.7,585717006.1,414642019.4,414642019.4,135521001.9,5029705199.9,1832319977.0,1037425714.6,772623416.0,547710186.4,-1140160882.6,1140160882.6,-601356982.6,1760703590.0,1.0,1.0,0.9,0.5,0.3,0.0,0.2,0.3,0.2,0.1,0.1,0.0,1.4,0.5,0.3,0.2,0.2,-0.3,0.3,-0.2,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-05,4344540196.5,4310302482.1,3261020495.2,1578093308.2,449896303.6,77980038.1,1050216966.6,1390594733.6,723436245.2,466428001.2,466428001.2,34237714.3,7097660166.1,1892585180.7,1872325986.8,1084252513.0,1309526836.7,-2903103003.4,2903103003.4,-715149340.5,3815541403.4,1.2,1.2,0.9,0.4,0.1,0.0,0.3,0.4,0.2,0.1,0.1,0.0,2.0,0.5,0.5,0.3,0.4,-0.8,0.8,-0.2,1.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-04,4742715180.9,4571399724.3,3770303347.8,1999060872.3,608079252.6,381622500.0,1009359119.7,1512599763.8,789105598.6,447133058.4,447133058.4,171315456.6,6901157504.3,1843618895.8,2130064849.1,930008470.0,624150246.7,-2500978803.1,2500978803.1,-920200528.7,3591953609.8,1.3,1.3,1.1,0.6,0.2,0.1,0.3,0.4,0.2,0.1,0.1,0.0,1.9,0.5,0.6,0.3,0.2,-0.7,0.7,-0.3,1.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-Q1,10809216185.8,21239178123.6,8711245162.6,3653952910.3,1584328207.7,159499429.4,1910125273.3,4161983934.9,2290639049.2,1442109540.9,1442109540.9,189627124.0,15244197854.2,5383759747.8,3767879384.9,2910478520.7,1212027502.6,-2160715959.3,2160715959.3,12054130341.4,-9780502181.6,3.0,6.0,2.4,1.0,0.4,0.0,0.5,1.2,0.6,0.4,0.4,0.1,4.3,1.5,1.1,0.8,0.3,-0.6,0.6,3.4,-2.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-03,3916601077.4,3799798889.0,3031863005.0,1227063350.0,577090691.7,159499429.4,490473228.9,1487390932.8,801484879.2,473928536.4,473928536.4,116802188.3,5647883690.1,1833365877.8,1382661494.3,900977452.7,647721355.4,-416989526.1,416989526.1,13256286094.6,-12726384368.1,1.1,1.1,0.8,0.3,0.2,0.0,0.1,0.4,0.2,0.1,0.1,0.0,1.6,0.5,0.4,0.3,0.2,-0.1,0.1,3.7,-3.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-02,3206562373.0,3191536091.5,2580503782.3,987531378.4,459187328.1,0.0,528344050.3,1289728821.1,728920837.7,454132444.8,454132444.8,15026281.5,4805300885.7,1868001237.6,971218806.4,1120153715.8,174621189.2,182771333.2,-182771333.2,-636349108.8,453577775.6,0.9,0.9,0.7,0.3,0.1,0.0,0.1,0.4,0.2,0.1,0.1,0.0,1.3,0.5,0.3,0.3,0.0,0.1,-0.1,-0.2,0.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-01,3686052735.4,3628254081.2,3098878375.3,1439358182.0,548050187.9,0.0,891307994.1,1384864181.0,760233332.2,514048559.7,514048559.7,57798654.2,4791013278.4,1682392632.4,1413999084.2,889347352.2,389684958.0,-1926497766.4,1926497766.4,-565806644.4,2492304410.8,1.0,1.0,0.9,0.4,0.2,0.0,0.2,0.4,0.2,0.1,0.1,0.0,1.3,0.5,0.4,0.2,0.1,-0.5,0.5,-0.2,0.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018,47636732967.0,93003854749.9,37784185991.2,18776430343.5,8527925603.4,735742317.2,9512762422.9,15030377745.7,8892689347.5,6102117561.9,6102117561.9,1134805592.0,58196960204.8,19612040673.1,15821822181.1,10789156374.8,4738334834.5,-11672748534.6,11672748534.6,2724179197.3,9800138338.8,15.4,30.1,12.2,6.1,2.8,0.2,3.1,4.9,2.9,2.0,2.0,0.4,18.9,6.4,5.1,3.5,1.5,-3.8,3.8,0.9,3.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-Q4,14435246003.5,28532278963.0,12070604840.0,6752995092.3,3567372535.7,206475377.4,2979147179.3,4428201846.7,2521586820.9,1586890820.7,1586890820.7,169106522.0,15955023316.6,5018601143.8,5286627858.2,2534974131.8,1409201441.9,-3249001522.9,3249001522.9,-1070556808.7,4454061466.9,4.7,9.2,3.9,2.2,1.2,0.1,1.0,1.4,0.8,0.5,0.5,0.1,5.2,1.6,1.7,0.8,0.5,-1.1,1.1,-0.3,1.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-12,6619581146.8,6517821055.8,5596906193.2,3860075996.3,2514744454.3,52960177.4,1292371364.6,1555452656.2,900828375.1,513973430.7,513973430.7,101760091.0,5777994455.6,1661553444.3,1918885447.5,980783559.5,615904305.9,680902711.9,-680902711.9,-511483814.0,-97737904.1,2.1,2.1,1.8,1.3,0.8,0.0,0.4,0.5,0.3,0.2,0.2,0.0,1.9,0.5,0.6,0.3,0.2,0.2,-0.2,-0.2,0.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-11,4123043485.4,4112503646.4,3364101732.9,1663483045.5,591531506.5,153515200.0,918436339.0,1439605479.2,825580409.0,532405518.6,532405518.6,10539839.0,5100280058.5,1678138822.2,1496032141.0,760015725.9,544964436.9,-1700688893.3,1700688893.3,-339397083.7,2083901172.9,1.3,1.3,1.1,0.5,0.2,0.0,0.3,0.5,0.3,0.2,0.2,0.0,1.7,0.5,0.5,0.2,0.2,-0.6,0.6,-0.1,0.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-10,3692621371.3,3635814779.3,3109596913.9,1229436050.5,461096574.9,0.0,768339475.6,1433143711.2,795178036.8,540511871.4,540511871.4,56806592.0,5076748802.4,1678908877.2,1871710269.7,794174846.5,248332699.2,-2229215341.5,2229215341.5,-219675910.9,2467898198.1,1.2,1.2,1.0,0.4,0.1,0.0,0.2,0.5,0.3,0.2,0.2,0.0,1.6,0.5,0.6,0.3,0.1,-0.7,0.7,-0.1,0.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-Q3,12064220797.8,23555257151.5,9416389772.0,4403914375.0,1986767064.6,156133951.2,2261013359.2,3926940998.8,2280470799.2,1541487746.7,1541487746.7,286592222.0,15097489778.6,4943426655.2,3961195108.7,2792840813.6,1132151310.6,-1728837929.9,1728837929.9,307436827.7,1635328734.7,3.9,7.6,3.1,1.4,0.6,0.1,0.7,1.3,0.7,0.5,0.5,0.1,4.9,1.6,1.3,0.9,0.4,-0.6,0.6,0.1,0.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-09,4266982367.7,4070714627.7,3213013189.8,1656565152.0,916223730.0,0.0,740341422.1,1225793782.8,728830283.0,428880835.5,428880835.5,196267740.0,5149611101.7,1674913443.7,1191667656.7,910876015.3,499099844.7,-426362869.4,426362869.4,-166624466.9,620614694.1,1.4,1.3,1.0,0.5,0.3,0.0,0.2,0.4,0.2,0.1,0.1,0.1,1.7,0.5,0.4,0.3,0.2,-0.1,0.1,-0.1,0.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-08,4286654714.0,4269947944.0,3212544426.1,1491551265.6,570660620.0,156133951.2,764756694.5,1455465984.5,769096258.8,574063105.4,574063105.4,16706770.0,4278380516.4,1641876182.4,874947662.2,852666415.2,254585541.2,383965484.2,-383965484.2,719614371.2,-920939569.1,1.4,1.4,1.0,0.5,0.2,0.1,0.2,0.5,0.2,0.2,0.2,0.0,1.4,0.5,0.3,0.3,0.1,0.1,-0.1,0.2,-0.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-07,3510583716.1,3436966004.1,2990832156.1,1255797957.3,499882714.7,0.0,755915242.6,1245681231.5,782544257.4,538543805.7,538543805.7,73617712.0,5669498160.4,1626637029.0,1894579789.7,1029298383.1,378465924.7,-1686440544.8,1686440544.8,-245553076.6,1935653609.8,1.1,1.1,1.0,0.4,0.2,0.0,0.2,0.4,0.3,0.2,0.2,0.0,1.8,0.5,0.6,0.3,0.1,-0.5,0.5,-0.1,0.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-Q2,11775249887.9,22900939027.7,9248391303.8,4808941654.1,1673291164.7,319862328.6,2815788160.8,3427239780.8,2106343530.3,1550463487.7,1550463487.7,324780374.0,14704091651.6,4857311245.7,3867217949.0,2810392022.1,1306635465.0,-4077081956.3,4077081956.3,3823756970.6,595126823.9,3.8,7.4,3.0,1.6,0.5,0.1,0.9,1.1,0.7,0.5,0.5,0.1,4.8,1.6,1.3,0.9,0.4,-1.3,1.3,1.2,0.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-06,3903368306.7,3756849004.7,3262860593.4,1699029864.5,809900748.9,0.0,889129115.6,1182365164.3,741658902.7,558666016.1,558666016.1,146519302.0,4300203594.6,1619409115.3,754881380.8,578735018.7,580711457.4,-138748658.3,138748658.3,-509074813.5,651326922.9,1.3,1.2,1.1,0.6,0.3,0.0,0.3,0.4,0.2,0.2,0.2,0.0,1.4,0.5,0.2,0.2,0.2,0.0,0.0,-0.2,0.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-05,4537905542.5,4465467002.5,3298335738.6,1816134431.1,344770541.6,319862328.6,1151501560.8,1137738534.2,696547430.9,512000774.8,512000774.8,72438540.0,5284422795.1,1570430097.2,1463245607.8,1316220025.4,394711013.1,-1108278513.8,1108278513.8,4401930159.6,-2970458916.7,1.5,1.4,1.1,0.6,0.1,0.1,0.4,0.4,0.2,0.2,0.2,0.0,1.7,0.5,0.5,0.4,0.1,-0.4,0.4,1.4,-1.0
