source,last_updated,period,capital_adequacy_ratio,core_liquid_assets_to_short_term_liabilities,core_liquid_assets_to_total_assets,non_performing_loan_ratio,operational_cost_income,return_on_assets,return_on_equity,total_cost_to_gross_income_ratio
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-09,19.9,25.3,19.1,16.8,53.3,4.6,21.1,79.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-08,20.7,24.7,18.6,17.3,53.4,4.6,21.0,79.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-07,20.7,27.8,20.9,17.0,53.2,4.6,21.3,78.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-06,20.7,27.5,20.7,17.0,53.2,4.7,21.2,78.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-05,21.4,25.5,19.1,16.8,53.1,4.5,20.9,78.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-04,21.8,24.9,18.6,15.5,52.9,4.6,21.1,78.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-03,21.0,26.9,20.3,15.5,52.1,4.7,22.5,77.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-02,18.5,26.5,19.9,15.3,51.7,4.4,22.1,77.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-01,18.8,26.2,19.8,14.7,50.0,4.9,25.6,75.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-12,18.1,27.8,21.2,14.8,53.7,4.4,21.4,79.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-11,18.3,25.4,19.1,15.4,53.7,4.2,21.0,79.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-10,18.3,27.0,20.5,15.3,53.5,4.2,21.2,79.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-09,18.5,29.6,22.3,15.8,53.8,4.2,21.0,79.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-08,19.2,29.0,20.9,15.5,53.5,4.2,21.4,79.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-07,19.8,30.1,22.4,16.1,53.8,4.2,21.2,79.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-06,19.5,29.2,21.7,15.7,54.4,4.1,20.6,80.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-05,19.6,30.6,22.7,15.2,55.4,3.9,19.1,81.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-04,19.1,30.1,22.5,15.0,55.6,3.9,18.9,81.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-03,19.3,31.9,23.9,14.5,53.2,4.3,21.2,79.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-02,18.3,31.3,24.2,13.8,50.6,4.9,25.5,76.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-01,18.1,28.8,22.4,13.6,49.9,5.0,26.6,76.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-12,17.5,30.5,24.0,14.3,54.1,4.2,19.9,81.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-11,18.2,28.6,22.2,16.7,53.3,4.3,20.4,80.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-10,18.9,30.2,23.3,17.3,53.2,4.3,20.7,80.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-09,19.1,31.9,24.6,17.3,53.5,4.3,20.5,80.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-08,20.0,30.1,23.3,17.8,53.0,4.3,20.9,80.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-07,20.5,30.4,23.5,17.9,53.2,4.4,21.0,80.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-06,19.3,30.6,23.9,18.1,53.5,4.4,21.2,80.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-05,19.6,30.5,23.6,18.8,52.9,4.4,21.5,80.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-04,19.6,28.9,22.5,18.9,53.3,4.1,18.9,80.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-03,20.6,29.7,23.0,18.8,53.0,4.4,21.1,80.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-02,18.9,30.6,23.5,18.2,52.0,4.2,20.1,79.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-01,20.8,31.1,23.9,18.4,51.6,4.8,21.8,79.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-12,19.3,34.0,26.0,18.2,54.3,3.4,18.5,84.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-11,19.7,30.4,23.3,19.3,55.9,3.1,16.1,86.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-10,20.0,31.0,23.7,20.1,54.1,3.3,17.6,84.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-09,20.2,32.3,24.9,20.0,54.4,3.3,17.1,84.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-08,19.1,32.9,25.6,21.3,52.9,3.3,16.9,83.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-07,18.9,35.3,27.1,21.1,51.9,3.5,17.1,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-06,19.3,30.5,23.4,22.6,52.4,3.5,16.8,84.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-05,19.0,31.5,24.0,22.8,51.8,3.5,17.2,84.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-04,18.9,30.7,23.5,23.5,51.3,3.6,17.3,84.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-03,19.3,32.0,24.3,22.6,51.1,3.7,18.0,84.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-02,19.2,32.7,24.9,21.6,51.2,4.0,19.0,83.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2018-01,16.7,33.1,25.3,21.0,47.1,2.3,7.3,95.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-12,15.6,33.3,26.0,21.6,50.1,3.6,18.7,86.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-11,14.9,32.2,24.9,22.9,50.4,3.1,14.6,90.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-10,15.0,32.6,25.1,21.6,50.4,3.0,14.4,87.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-09,14.5,32.5,25.2,22.2,52.3,2.6,11.4,90.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-08,15.9,33.4,25.9,21.9,49.5,3.2,14.9,89.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-07,14.8,36.7,28.2,21.5,49.4,3.7,18.1,87.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-06,14.8,32.5,25.4,21.2,48.1,3.7,17.7,87.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-05,16.0,33.0,25.5,21.0,48.0,3.8,17.9,87.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-04,17.4,33.3,25.6,19.8,46.7,4.0,19.3,86.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-03,18.1,34.6,26.8,20.2,45.9,4.4,21.2,84.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-02,18.5,32.9,25.4,17.7,45.8,4.0,19.6,85.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2017-01,17.8,33.9,26.5,18.0,43.6,4.7,24.3,83.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-12,18.0,34.9,27.0,17.3,50.3,3.8,17.6,87.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-11,17.1,33.6,25.8,18.8,50.3,4.1,19.4,86.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-10,17.1,31.6,24.4,19.0,49.6,4.3,20.2,86.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-09,17.0,32.6,25.1,19.1,49.7,4.8,20.8,85.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-08,16.5,32.2,25.0,18.6,49.0,4.6,21.7,84.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-07,16.7,32.8,25.2,19.1,48.2,4.8,23.5,83.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-06,16.2,31.8,24.4,18.8,48.9,4.9,22.9,83.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-05,16.7,32.4,25.1,19.3,49.1,4.6,21.8,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-04,17.5,32.9,25.1,18.6,49.1,4.7,22.0,83.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-03,17.6,34.5,26.1,16.2,48.3,5.0,23.5,83.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-02,18.1,32.8,24.7,15.6,50.3,4.6,20.7,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2016-01,17.9,32.1,24.4,14.6,47.6,5.2,23.8,82.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-12,17.8,34.2,26.4,14.7,53.4,4.6,22.1,84.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-11,17.6,34.5,26.4,14.1,51.8,4.9,24.1,82.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-10,17.4,34.6,26.3,14.1,50.7,5.3,26.5,80.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-09,17.6,35.3,26.5,13.5,51.3,5.4,26.6,80.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-08,16.8,35.3,26.7,13.0,50.8,5.7,28.1,80.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-07,17.6,32.7,24.5,13.1,50.5,5.6,27.3,79.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-06,16.2,34.2,26.3,11.2,51.1,5.6,29.1,80.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-05,16.2,35.0,26.6,11.2,50.2,5.9,28.7,79.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-04,17.0,34.8,26.3,11.5,50.4,5.7,26.7,80.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-03,16.9,34.5,25.9,11.4,49.1,6.3,29.3,78.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-02,17.5,35.3,26.6,11.4,49.9,6.0,27.5,78.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2015-01,17.9,34.2,25.9,11.5,48.1,6.9,32.2,75.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-12,17.9,34.8,26.8,11.0,50.6,6.6,33.1,76.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-11,17.7,34.4,26.2,12.0,50.8,6.4,32.1,76.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-10,17.1,34.9,26.6,12.2,51.0,6.5,33.3,75.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-09,17.0,34.1,25.8,12.1,51.3,6.8,34.0,75.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-08,16.6,34.3,26.2,12.2,51.3,6.6,32.5,75.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-07,16.2,33.5,25.6,12.3,51.4,6.3,31.4,75.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-06,16.1,33.3,25.7,12.8,51.4,6.1,30.8,75.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-05,16.7,33.2,25.4,12.8,51.9,5.9,29.9,76.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-04,18.1,32.3,24.7,12.5,51.6,6.1,30.8,75.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-03,17.7,28.1,21.8,12.4,51.9,6.2,30.7,75.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-02,17.5,28.3,21.8,12.7,51.6,6.0,29.4,75.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2014-01,18.7,25.9,20.1,12.7,53.1,5.8,27.2,77.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-12,18.5,28.2,21.7,12.0,52.3,6.2,30.9,76.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-11,18.3,26.1,20.1,12.8,53.0,6.0,29.5,77.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-10,18.3,27.2,21.0,12.4,52.8,6.0,29.7,77.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-09,18.2,29.5,22.6,12.5,53.0,5.8,29.1,77.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-08,18.3,26.8,20.7,12.8,52.9,5.7,28.5,77.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-07,18.6,26.3,20.4,12.9,53.0,5.5,27.7,77.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-06,17.5,27.7,21.4,12.8,52.8,5.6,28.1,77.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-05,18.1,28.7,22.1,13.4,53.3,5.5,27.0,78.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-04,18.1,30.1,23.4,13.3,53.2,5.6,26.8,77.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-03,17.8,30.4,23.7,13.7,53.1,5.3,25.9,77.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-02,18.2,29.6,22.9,13.5,50.9,6.2,31.2,74.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2013-01,18.7,28.3,22.0,13.3,50.6,6.5,32.2,75.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-12,19.1,30.7,24.1,13.2,56.7,4.8,25.8,78.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-11,17.5,31.6,24.7,13.1,56.9,4.8,26.0,79.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-10,17.1,31.3,24.3,13.2,57.4,4.7,26.0,78.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-09,16.3,31.1,24.2,13.1,57.1,4.6,26.5,78.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-08,15.6,29.8,23.3,13.2,57.2,4.7,27.3,77.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-07,15.5,31.2,24.4,13.4,58.3,4.6,26.7,78.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-06,15.5,33.5,26.5,13.2,58.0,4.4,26.9,77.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-05,14.9,32.1,25.3,13.5,59.2,4.3,24.7,78.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-04,16.8,33.0,26.1,14.1,60.3,4.2,23.2,79.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-03,17.3,30.4,23.8,13.1,59.6,4.3,24.2,78.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-02,17.4,34.3,26.7,13.7,59.0,4.3,24.0,78.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2012-01,17.4,33.4,26.1,14.2,56.4,5.3,29.1,76.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-12,17.4,35.3,27.8,14.1,59.5,3.9,19.7,82.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-11,16.5,35.8,28.5,14.7,60.5,3.6,18.9,83.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-10,17.1,36.1,28.7,15.2,60.5,3.7,19.2,83.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-09,17.0,34.6,27.0,15.7,61.2,3.4,17.7,85.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-08,16.9,32.0,25.1,16.0,61.1,3.5,17.7,84.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-07,17.0,32.5,25.6,16.4,61.0,3.5,18.1,85.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-06,17.5,32.0,25.2,16.4,60.1,3.5,18.5,84.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-05,17.7,31.9,25.1,17.2,59.6,3.8,18.9,84.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-04,18.1,34.6,27.1,17.5,59.7,3.6,18.1,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-03,18.2,34.8,27.0,16.1,59.9,3.5,17.8,84.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-02,18.5,33.9,25.9,16.6,61.6,3.1,15.5,86.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2011-01,18.5,31.2,24.3,17.2,63.9,2.7,13.1,88.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-12,19.1,32.9,25.3,16.1,57.5,3.8,20.4,85.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-11,18.9,32.5,24.7,17.9,58.8,3.6,20.3,88.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-10,19.5,34.1,25.5,18.4,57.6,3.1,18.4,86.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-09,20.2,31.9,23.8,18.1,56.8,3.8,20.2,86.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-08,20.2,31.8,23.5,18.0,57.3,3.7,18.8,87.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-07,19.3,32.9,24.5,18.2,54.9,3.2,19.3,87.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-06,19.9,33.1,25.0,18.6,55.9,3.1,16.8,89.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-05,19.1,32.1,23.8,18.7,50.9,3.8,20.7,85.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-04,20.2,31.6,23.4,18.9,51.0,4.1,21.7,85.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-03,20.5,32.5,24.4,18.5,43.2,3.7,19.2,74.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-02,19.7,30.9,23.5,20.0,40.3,4.0,32.2,71.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2010-01,17.4,33.4,25.2,19.7,39.4,5.2,31.0,72.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-12,18.2,34.5,26.3,16.2,55.4,2.8,17.5,90.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-11,17.1,33.1,25.0,13.6,51.1,4.1,20.2,83.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-10,15.6,35.2,26.6,13.6,53.2,3.2,20.5,87.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-09,15.4,31.3,24.0,13.2,51.0,3.2,19.8,83.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-08,14.0,31.2,24.1,12.8,58.5,2.6,14.8,92.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-07,14.7,32.7,25.1,11.4,53.0,3.3,23.7,86.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-06,14.5,30.8,23.6,9.8,53.9,3.8,24.8,86.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-05,14.3,31.6,24.1,11.0,54.4,3.3,19.2,87.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-04,13.3,30.8,23.4,10.3,52.6,3.7,21.2,85.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-03,14.6,29.7,22.6,9.6,52.7,3.4,21.6,86.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-02,14.8,29.5,21.8,8.1,48.8,3.7,22.5,85.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2009-01,14.9,30.3,22.2,8.0,49.2,5.4,32.9,81.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-12,13.8,33.5,25.2,7.7,58.6,3.2,23.7,86.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-11,13.5,31.0,22.8,7.9,58.2,3.4,24.1,85.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-10,13.2,29.5,21.9,7.5,59.4,3.3,22.5,85.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-09,13.9,33.7,25.2,7.6,58.2,3.5,26.0,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-08,14.3,31.1,23.7,7.4,59.6,3.4,24.4,85.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-07,14.4,30.4,23.0,7.9,60.1,3.2,23.0,85.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-06,13.8,29.9,22.3,8.7,64.2,2.6,18.0,90.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-05,14.2,29.3,22.1,8.8,61.2,2.7,19.3,87.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-04,14.5,31.1,22.8,8.7,59.4,3.2,22.8,84.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-03,15.4,29.5,21.9,8.7,56.9,3.7,26.2,82.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-02,14.9,29.9,21.8,8.4,49.6,3.8,26.3,70.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2008-01,15.3,31.3,23.2,6.8,54.5,4.8,32.9,80.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-12,15.7,31.3,23.3,6.9,59.1,3.7,25.8,83.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-11,15.2,29.8,21.8,6.8,58.2,3.9,28.3,83.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-10,14.9,31.5,22.5,6.6,59.0,3.8,26.4,83.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-09,14.8,30.7,22.0,6.1,59.7,3.8,27.4,83.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-08,15.0,33.2,23.0,6.8,57.8,4.0,29.5,81.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-07,14.5,32.5,22.6,6.7,59.7,3.7,24.4,84.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-06,15.2,31.0,23.2,7.0,65.6,3.0,16.7,89.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-05,14.9,31.5,23.6,7.4,57.9,4.3,28.6,80.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-04,15.3,29.4,21.7,6.8,54.0,3.6,23.2,74.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-03,16.9,26.6,19.4,6.9,58.5,4.2,26.9,81.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-02,16.6,27.8,20.9,7.3,58.6,3.7,23.1,80.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2007-01,16.9,28.1,21.1,7.5,61.6,4.8,28.1,84.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2006-12,15.8,31.8,23.5,7.9,61.2,4.8,27.4,81.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2006-11,15.8,29.8,21.9,10.6,62.3,4.7,25.8,82.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2006-10,15.8,29.2,21.4,11.0,62.9,4.4,24.0,82.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2006-09,16.9,27.0,19.7,11.0,62.0,4.7,25.3,81.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2006-08,16.9,28.5,21.0,11.7,63.3,4.6,25.3,82.1
