source,last_updated,period,unit_value_index_export_all_products,unit_value_index_export_gold,unit_value_index_export_mineral_fuels_and_oils,unit_value_index_export_cocoa_beans_and_products,unit_value_index_export_machinery_and_electrical_equipment,unit_value_index_export_chemical_products,unit_value_index_export_vehicles_and_automotive_parts,unit_value_index_export_iron_and_steel,unit_value_index_export_plastics,unit_value_index_export_vegetable_products,unit_value_index_export_other_products,unit_value_index_import_all_products,unit_value_index_import_gold,unit_value_index_import_mineral_fuels_and_oils,unit_value_index_import_cocoa_beans_and_products,unit_value_index_import_machinery_and_electrical_equipment,unit_value_index_import_chemical_products,unit_value_index_import_vehicles_and_automotive_parts,unit_value_index_import_iron_and_steel,unit_value_index_import_plastics,unit_value_index_import_vegetable_products,unit_value_index_import_other_products,year_on_year_uvi_change_export_all_products,year_on_year_uvi_change_export_gold,year_on_year_uvi_change_export_mineral_fuels_and_oils,year_on_year_uvi_change_export_cocoa_beans_and_products,year_on_year_uvi_change_export_machinery_and_electrical_equipment,year_on_year_uvi_change_export_chemical_products,year_on_year_uvi_change_export_vehicles_and_automotive_parts,year_on_year_uvi_change_export_iron_and_steel,year_on_year_uvi_change_export_plastics,year_on_year_uvi_change_export_vegetable_products,year_on_year_uvi_change_export_other_products,year_on_year_uvi_change_import_all_products,year_on_year_uvi_change_import_gold,year_on_year_uvi_change_import_mineral_fuels_and_oils,year_on_year_uvi_change_import_cocoa_beans_and_products,year_on_year_uvi_change_import_machinery_and_electrical_equipment,year_on_year_uvi_change_import_chemical_products,year_on_year_uvi_change_import_vehicles_and_automotive_parts,year_on_year_uvi_change_import_iron_and_steel,year_on_year_uvi_change_import_plastics,year_on_year_uvi_change_import_vegetable_products,year_on_year_uvi_change_import_other_products,quarter_on_quarter_uvi_change_export_all_products,quarter_on_quarter_uvi_change_export_gold,quarter_on_quarter_uvi_change_export_mineral_fuels_and_oils,quarter_on_quarter_uvi_change_export_cocoa_beans_and_products,quarter_on_quarter_uvi_change_export_machinery_and_electrical_equipment,quarter_on_quarter_uvi_change_export_chemical_products,quarter_on_quarter_uvi_change_export_vehicles_and_automotive_parts,quarter_on_quarter_uvi_change_export_iron_and_steel,quarter_on_quarter_uvi_change_export_plastics,quarter_on_quarter_uvi_change_export_vegetable_products,quarter_on_quarter_uvi_change_export_other_products,quarter_on_quarter_uvi_change_import_all_products,quarter_on_quarter_uvi_change_import_gold,quarter_on_quarter_uvi_change_import_mineral_fuels_and_oils,quarter_on_quarter_uvi_change_import_cocoa_beans_and_products,quarter_on_quarter_uvi_change_import_machinery_and_electrical_equipment,quarter_on_quarter_uvi_change_import_chemical_products,quarter_on_quarter_uvi_change_import_vehicles_and_automotive_parts,quarter_on_quarter_uvi_change_import_iron_and_steel,quarter_on_quarter_uvi_change_import_plastics,quarter_on_quarter_uvi_change_import_vegetable_products,quarter_on_quarter_uvi_change_import_other_products
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-Q2,358.3,418.0,247.0,367.8,,,,,,,251.9,208.0,,249.4,,203.3,200.1,228.7,179.9,179.8,,219.1,25.4,42.3,-29.4,55.2,,,,,,,0.5,-13.0,,-17.6,,-6.9,-9.3,-8.6,-18.9,-15.8,,-8.7,-4.2,3.7,-31.8,-1.1,,,,,,,-13.3,-18.5,,-20.0,,-13.8,-18.3,-17.3,-22.5,-21.8,,-16.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-Q1,373.9,403.2,362.2,371.9,,,,,,,290.4,255.4,,311.6,,235.9,244.9,276.7,232.0,229.8,,261.1,58.5,76.5,18.7,79.9,,,,,,,22.8,15.5,,7.0,,16.8,19.6,22.8,15.2,23.5,,19.3,4.2,3.3,3.7,10.3,,,,,,,-2.5,-1.0,,1.0,,-2.2,-0.9,-2.0,-2.3,-5.4,,-2.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q4,358.7,390.4,349.2,337.3,,,,,,,297.8,257.9,,308.6,,241.1,247.1,282.4,237.6,242.8,,266.5,64.0,86.3,25.2,76.4,,,,,,,27.0,20.2,,3.7,,28.4,27.0,32.7,20.8,33.1,,28.5,10.8,13.5,-4.1,32.9,,,,,,,6.4,0.4,,-0.8,,2.4,1.2,3.6,-2.9,0.8,,1.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q3,323.7,343.8,364.2,253.7,,,,,,,279.8,256.8,,311.1,,235.4,244.1,272.5,244.8,241.0,,261.8,53.5,73.8,29.7,46.9,,,,,,,22.6,26.3,,12.7,,32.6,30.0,33.6,26.2,36.2,,32.0,13.3,17.0,4.1,7.1,,,,,,,11.7,7.4,,2.8,,7.7,10.7,8.8,10.3,12.9,,9.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q2,285.7,293.8,350.0,236.9,,,,,,,250.6,239.0,,302.7,,218.5,220.5,250.4,221.9,213.4,,239.9,40.5,49.2,42.8,35.3,,,,,,,9.0,18.9,,15.8,,24.4,15.4,20.5,10.5,14.2,,19.6,21.1,28.6,14.7,14.6,,,,,,,5.9,8.1,,4.0,,8.2,7.7,11.1,10.1,14.7,,9.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q1,235.8,228.5,305.2,206.8,,,,,,,236.5,221.1,,291.2,,201.9,204.8,225.4,201.5,186.1,,218.9,20.4,27.0,18.3,21.4,,,,,,,7.7,11.5,,14.3,,19.4,3.2,10.3,-0.4,2.7,,9.7,7.8,9.1,9.4,8.1,,,,,,,0.9,3.0,,-2.1,,7.6,5.2,5.9,2.5,2.0,,5.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q4,218.7,209.5,278.9,191.2,,,,,,,234.5,214.6,,297.5,,187.7,194.6,212.8,196.6,182.4,,207.4,4.0,8.5,7.4,-2.5,,,,,,,-3.1,-5.7,,-3.3,,3.6,-13.2,2.7,-8.7,-14.1,,-4.8,3.7,5.9,-0.6,10.7,,,,,,,2.8,5.6,,7.8,,5.8,3.6,4.3,1.4,3.1,,4.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q3,210.8,197.8,280.8,172.7,,,,,,,228.2,203.3,,275.9,,177.5,187.8,204.0,193.9,177.0,,198.3,36.3,52.9,20.4,39.2,,,,,,,32.3,17.6,,2.2,,31.8,18.2,40.2,24.4,7.1,,28.9,3.7,0.5,14.5,-1.3,,,,,,,-0.7,1.1,,5.6,,1.1,-1.7,-1.8,-3.4,-5.3,,-1.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q2,203.3,196.9,245.1,175.1,,,,,,,229.8,201.1,,261.4,,175.6,191.1,207.7,200.8,186.8,,200.6,37.1,59.6,6.5,53.4,,,,,,,43.0,35.6,,34.9,,44.0,29.2,56.1,42.8,22.2,,44.3,3.8,9.5,-5.0,2.8,,,,,,,4.6,1.4,,2.6,,3.8,-3.7,1.7,-0.7,3.1,,0.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q1,195.9,179.9,257.9,170.3,,,,,,,219.7,198.3,,254.7,,169.1,198.5,204.3,202.2,181.2,,199.4,52.3,65.0,36.5,67.1,,,,,,,61.2,53.4,,52.4,,55.7,49.6,78.2,54.1,32.2,,65.9,-6.9,-6.9,-0.7,-13.1,,,,,,,-9.2,-12.8,,-17.2,,-6.7,-11.5,-1.4,-6.1,-14.7,,-8.5
