Date,Year,Month,Source,Scraped Date,USD_GHS_End_Period,USD_GHS_Period_Average,GBP_GHS_End_Period,GBP_GHS_Period_Average,EUR_GHS_End_Period,EUR_GHS_Period_Average,CHF_GHS_End_Period,CHF_GHS_Period_Average,JPY_GHS_End_Period,JPY_GHS_Period_Average
2006-09,2006,September,Bank of Ghana Statistical Bulletin,2026-04-20,0.920951,,1.73267,,1.174038,,0.735081,,44013.0,
2006-08,2006,August,Bank of Ghana Statistical Bulletin,2026-04-20,0.919762,,1.754082,,1.179707,,0.749254,,0.007842,
2006-07,2006,July,Bank of Ghana Statistical Bulletin,2026-04-20,0.919819,,1.706236,,1.165637,,0.743244,,0.008008,
2006-06,2006,June,Bank of Ghana Statistical Bulletin,2026-04-20,0.919102,,1.676007,,1.162168,,0.742706,,0.007988,
2006-05,2006,May,Bank of Ghana Statistical Bulletin,2026-04-20,0.914501,,1.715625,,1.17391,,0.753826,,0.008163,
2006-04,2006,April,Bank of Ghana Statistical Bulletin,2026-04-20,0.914102,,1.639923,,1.144169,,0.722924,,0.007972,
2006-03,2006,March,Bank of Ghana Statistical Bulletin,2026-04-20,0.913881,,1.603695,,1.10088,,0.699346,,0.007753,
2006-02,2006,February,Bank of Ghana Statistical Bulletin,2026-04-20,0.911913,,1.58619,,1.084992,,0.689284,,0.007724,
2006-01,2006,January,Bank of Ghana Statistical Bulletin,2026-04-20,0.912857,,1.613603,,1.104559,,0.707253,,0.007753,
2005-12,2005,December,Bank of Ghana Statistical Bulletin,2026-04-20,0.913082,,1.56733,,1.081497,,0.6924,,0.007738,
2005-11,2005,November,Bank of Ghana Statistical Bulletin,2026-04-20,0.90994,,1.56713,,1.06447,,0.690226,,0.007588,
2005-10,2005,October,Bank of Ghana Statistical Bulletin,2026-04-20,0.908362,,1.614944,,1.095714,,0.707054,,0.007831,
2005-09,2005,September,Bank of Ghana Statistical Bulletin,2026-04-20,0.908647,,1.6037,,1.095714,,0.70024,,0.008,
2005-08,2005,August,Bank of Ghana Statistical Bulletin,2026-04-20,0.908642,,1.626815,,1.111508,,0.71411,,0.00813,
2005-07,2005,July,Bank of Ghana Statistical Bulletin,2026-04-20,0.907728,,1.600739,,1.099857,,0.702722,,0.00807,
2005-06,2005,June,Bank of Ghana Statistical Bulletin,2026-04-20,0.907491,,1.64578,,1.095273,,0.705795,,0.008202,
2005-05,2005,May,Bank of Ghana Statistical Bulletin,2026-04-20,0.906606,,1.658619,,1.127297,,0.726612,,0.008376,
2005-04,2005,April,Bank of Ghana Statistical Bulletin,2026-04-20,0.908094,,1.729717,,1.182348,,0.763095,,0.008604,
2005-03,2005,March,Bank of Ghana Statistical Bulletin,2026-04-20,0.90755,,1.713536,,1.181722,,0.757102,,0.008468,
2005-02,2005,February,Bank of Ghana Statistical Bulletin,2026-04-20,0.905795,,1.730063,,1.198591,,0.778772,,0.008643,
2005-01,2005,January,Bank of Ghana Statistical Bulletin,2026-04-20,0.904959,,1.704178,,1.183421,,0.758844,,0.008719,
