Dataset,Source,Scraped Date,Month,Capital adequacy ratio,Core liquid assets to short-term liabilities,Core liquid assets to total assets,Non performing loan ratio,Operational cost/income,Return on assets,Return on equity,Total cost to gross income ratio
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M06,14.3,43.0,35.8,24.1,49.6,5.4,35.3,76.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M05,14.7,43.3,35.9,24.5,50.8,5.4,33.9,77.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M04,15.5,42.3,35.2,25.7,50.3,5.4,35.0,76.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M03,15.9,38.3,31.8,26.7,50.7,5.6,36.4,76.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M02,13.6,36.6,30.2,24.6,52.3,5.2,32.7,78.2
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M01,12.7,35.1,29.1,23.7,51.6,5.5,35.9,77.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M12,13.9,37.1,30.7,20.6,55.1,5.4,34.2,80.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M11,13.2,33.0,27.2,18.3,53.6,5.6,37.5,78.6
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M10,13.4,31.9,26.3,18.3,53.9,5.5,36.3,79.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M09,13.8,31.2,25.9,18.0,54.1,5.3,35.6,79.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M08,14.2,31.6,25.9,20.0,53.0,5.4,36.9,78.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M07,14.2,30.4,25.0,19.1,52.8,5.5,38.0,78.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M06,14.2,33.4,27.7,18.7,52.8,5.5,37.6,78.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M05,14.6,30.6,25.1,18.2,52.6,5.4,36.5,79.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M04,14.8,35.5,29.3,18.0,52.8,5.5,36.3,79.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M03,14.2,30.4,25.1,16.8,52.3,5.6,36.8,78.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M02,12.6,34.5,28.0,16.6,53.4,5.1,32.4,80.3
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M01,14.4,35.1,27.9,15.7,50.2,5.4,31.6,76.7
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M12,15.4,34.9,29.0,16.6,92.9,-3.8,-25.5,120.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M11,14.7,35.1,27.9,14.1,55.1,4.0,20.7,82.5
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M10,14.2,34.4,27.2,14.0,54.8,4.1,20.2,82.1
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M09,16.4,31.5,24.4,14.1,53.7,4.5,21.9,80.2
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M08,17.8,31.1,23.9,14.3,52.8,4.7,23.0,78.9
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M07,18.6,30.7,23.9,14.2,53.1,4.6,22.7,78.8
Ghana Financial Soundness Indicators,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022M06,19.4,30.2,23.4,14.1,53.9,4.6,21.8,79.3
