Dataset,Source,Scraped Date,Month,Narrow money (M1),Broad money (M2),Currency outside banks,Total credit,"Credit for agriculture, forestry and fishing",Credit for cocoa marketing,Credit for commerce and finance,Credit for construction,"Credit for electricity, gas and water",Credit for export trade,Credit for import trade,Credit for manufacturing,Credit for mining and quarrying,Credit for miscellaneous,Credit for services,"Credit for transport, storage and communication"
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007M01,2122040000.0,3383280000.0,912870000.0,2617736590.0,135957690.0,21564690.0,648411070.0,27033010.0,77161900.0,104304600.0,163169180.0,477023580.0,89281420.0,198254800.0,473602450.0,201972210.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M12,2094830000.0,3327810000.0,1019600000.0,2519737910.0,135423680.0,21257430.0,570540070.0,33717360.0,76873770.0,96798500.0,174026410.0,466753920.0,90727370.0,191719100.0,463331510.0,198568800.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M11,1904720000.0,3067210000.0,884580000.0,2450835930.0,140101820.0,16931780.0,569397300.0,39473570.0,70582220.0,93858310.0,174709010.0,436675140.0,73746380.0,178333200.0,476836700.0,180190500.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M10,1820450000.0,2923940000.0,795940000.0,2378085760.0,132022110.0,14124070.0,585672960.0,42325610.0,83951750.0,82379480.0,167827780.0,400054120.0,42462510.0,186483250.0,445764510.0,195017620.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M09,1747070000.0,2846000000.0,769850000.0,2251779350.0,134345310.0,5764280.0,552605840.0,40409020.0,78767390.0,71659830.0,154489400.0,413660590.0,74491720.0,151483200.0,404549710.0,169553070.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M08,1733580000.0,2792200000.0,766610000.0,2126233510.0,133388590.0,11338380.0,471660930.0,35673220.0,74256990.0,62545290.0,143078850.0,412821380.0,104377910.0,146473090.0,375309720.0,155309160.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M07,1734570000.0,2763660000.0,762370000.0,2029360130.0,135520440.0,13072170.0,453170270.0,35707200.0,84502190.0,59114510.0,135883890.0,414929850.0,74673610.0,139533300.0,331621010.0,151631700.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M06,1698080000.0,2694300000.0,762040000.0,1982114390.0,134327950.0,14299770.0,447472650.0,39015650.0,85840410.0,58697580.0,137398700.0,397913140.0,77672100.0,133337180.0,319000270.0,137138980.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M05,1670870000.0,2617620000.0,762490000.0,2071291600.0,133410280.0,11338600.0,527001270.0,40307060.0,88678490.0,57632780.0,137603030.0,398252850.0,57773350.0,129175290.0,354038330.0,136080250.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M04,1630860000.0,2550130000.0,742910000.0,1944650220.0,127835190.0,20143310.0,493688910.0,35797330.0,80722400.0,56832830.0,93306800.0,392312270.0,30051830.0,146020330.0,337874730.0,130064310.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M03,1567840000.0,2460750000.0,718710000.0,1875874500.0,122148480.0,17022800.0,421195860.0,39984670.0,81624730.0,56008660.0,115141850.0,368224910.0,49860850.0,146104960.0,331753120.0,126803620.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M02,1607430000.0,2444750000.0,719960000.0,1870931340.0,122537110.0,18189710.0,438606930.0,43342090.0,78321670.0,56032490.0,111768010.0,352062720.0,24220180.0,163283950.0,333559090.0,129007390.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006M01,1598230000.0,2407190000.0,752070000.0,1902099200.0,122462430.0,18862040.0,466729440.0,36226840.0,85532540.0,67663170.0,125407550.0,339118630.0,46887880.0,150237760.0,336454730.0,106516190.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M12,1550940000.0,2386980000.0,802590000.0,1793412270.0,120264780.0,17665370.0,401504670.0,30075780.0,72328200.0,66615300.0,145538190.0,343119790.0,32634180.0,198086570.0,264110270.0,101469160.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M11,1465840000.0,2262660000.0,737250000.0,1713219030.0,116597800.0,11518860.0,366470550.0,29479390.0,72156670.0,57650350.0,126418780.0,356284280.0,32050140.0,175748600.0,269864010.0,98979610.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M10,1433490000.0,2242900000.0,686390000.0,1656954700.0,118718580.0,6904900.0,349297850.0,22041930.0,76817480.0,61230040.0,143281450.0,364430840.0,29559770.0,137725630.0,244389120.0,102557110.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M09,1361580000.0,2114160000.0,651380000.0,1709630410.0,99409720.0,5395800.0,446338330.0,27472320.0,98528960.0,57497750.0,128148580.0,335979300.0,23392540.0,149847000.0,246103110.0,91517010.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M08,1358530000.0,2196500000.0,633720000.0,1646868720.0,92152930.0,1224030.0,430034490.0,24069550.0,75615630.0,54059380.0,137998530.0,316579340.0,33480800.0,150577080.0,245245190.0,85831770.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M07,1277900000.0,2062660000.0,633220000.0,1563194790.0,89905990.0,1449030.0,404810450.0,28965150.0,74978680.0,49744600.0,132084980.0,305088330.0,23497110.0,150341100.0,213925080.0,88404280.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M06,1333510000.0,2094750000.0,641250000.0,1486929780.0,94659580.0,1141440.0,377631490.0,34750960.0,71662100.0,38940990.0,122398610.0,300982200.0,22965540.0,128050630.0,208728460.0,85017780.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M05,1347560000.0,2045580000.0,646090000.0,1460461110.0,100466960.0,2056640.0,313939160.0,88038760.0,23266110.0,38252700.0,109941030.0,304136870.0,36839020.0,208179230.0,138516990.0,96827650.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M04,1357640000.0,2054470000.0,638890000.0,1406036130.0,87999380.0,1901980.0,303237470.0,35096990.0,91803060.0,45107510.0,102024860.0,290795080.0,27369600.0,178146810.0,155747650.0,86805750.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M03,1375220000.0,2040810000.0,637510000.0,1319945180.0,94162380.0,1825580.0,289165770.0,81407030.0,23917170.0,37672970.0,78176470.0,269496730.0,42261010.0,168623590.0,152173130.0,81063350.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M02,1374880000.0,2021200000.0,638150000.0,1280186470.0,93491190.0,1865640.0,239883080.0,85293460.0,26120090.0,22735080.0,117270580.0,289831250.0,43665640.0,154619050.0,129751720.0,75659700.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005M01,1365400000.0,2001660000.0,677560000.0,1283685190.0,99646320.0,3401680.0,270228240.0,79511500.0,30160510.0,22275750.0,92916090.0,274919200.0,38897720.0,130409460.0,163523940.0,77794780.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M12,1458400000.0,2098630000.0,730340000.0,1278537330.0,97871050.0,63962530.0,199812790.0,82117640.0,26239450.0,27649590.0,103570480.0,274372150.0,35753670.0,145803050.0,144122160.0,77262780.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M11,1407940000.0,2047970000.0,646280000.0,1324901890.0,110538060.0,38320300.0,267973900.0,27654460.0,81498940.0,37072930.0,91665190.0,262677040.0,22027950.0,139394190.0,164821980.0,81256940.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M10,1272170000.0,1892180000.0,602740000.0,1343929090.0,112358550.0,54213230.0,270559550.0,76114130.0,30480680.0,33374720.0,97705950.0,258061120.0,36543540.0,143814770.0,153461830.0,77241010.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M09,1191830000.0,1775450000.0,559290000.0,1247983210.0,102688780.0,35614190.0,245228770.0,74593060.0,29080110.0,20675050.0,91623320.0,249951500.0,35650600.0,171140210.0,118293470.0,73444150.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M08,1158610000.0,1727010000.0,553890000.0,1211316160.0,104734210.0,30500770.0,244934920.0,30237290.0,64858160.0,35694790.0,89747120.0,232042440.0,26581400.0,159949900.0,120016760.0,72018400.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M07,1126860000.0,1693150000.0,563660000.0,1170509470.0,93169770.0,31002200.0,212624010.0,74032950.0,28575430.0,27134510.0,91725990.0,220676980.0,31820080.0,146153950.0,137803490.0,75790110.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M06,1152130000.0,1706650000.0,570560000.0,1140851250.0,94126310.0,35669050.0,216013840.0,62403440.0,31422330.0,24605610.0,76517920.0,207698930.0,31135870.0,179004150.0,114760270.0,67493520.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M05,1105010000.0,1651710000.0,561410000.0,1084215210.0,92728990.0,29878740.0,176425110.0,68097370.0,31606070.0,27408650.0,75099040.0,216292990.0,33085990.0,161835190.0,104087660.0,67669410.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M04,1102310000.0,1627660000.0,556180000.0,983008260.0,89951280.0,21294050.0,109406450.0,63474230.0,41689660.0,23549290.0,78423680.0,214966240.0,29375110.0,159430870.0,95242730.0,56204670.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M03,1074740000.0,1599290000.0,526480000.0,1059700050.0,92753250.0,18763160.0,216303510.0,19016740.0,56478830.0,27756920.0,68684860.0,208954260.0,47956500.0,122127030.0,121369860.0,59535140.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M02,1103910000.0,1619690000.0,552350000.0,1059867330.0,93182840.0,18246510.0,222547200.0,20896310.0,54320060.0,28178680.0,63661850.0,210922760.0,38347180.0,126808450.0,126227500.0,56527990.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004M01,1262640000.0,1742440000.0,598680000.0,902498830.0,93500790.0,23685380.0,123150490.0,60350890.0,40056800.0,36229850.0,57923410.0,191555370.0,26243720.0,117454580.0,88409420.0,43938120.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M12,1137280000.0,1659780000.0,633780000.0,1025280730.0,96858950.0,29325750.0,208721140.0,51038470.0,44938550.0,23477220.0,74983620.0,212087070.0,29354480.0,115889670.0,90456500.0,48149310.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M11,998580000.0,1480120000.0,479350000.0,963587690.0,91609670.0,24988970.0,182019070.0,53697960.0,31593470.0,16444600.0,75996420.0,214517400.0,30320050.0,131792040.0,74922940.0,35685100.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M10,905350000.0,1369950000.0,455250000.0,951098710.0,91735540.0,26970380.0,189703650.0,53720800.0,27787870.0,21317690.0,82124520.0,191301720.0,28863440.0,103888530.0,89176090.0,44508480.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M09,782650000.0,1225900000.0,410510000.0,883048800.0,88295820.0,16057290.0,232814370.0,15525360.0,25770590.0,19593300.0,75145030.0,179772740.0,31620940.0,112736310.0,43941160.0,41775890.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M08,822210000.0,1248220000.0,414210000.0,837259240.0,87323500.0,13101110.0,194169700.0,11149080.0,24632430.0,22564990.0,40837030.0,180239610.0,23651450.0,113854450.0,83450060.0,42285840.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M07,827260000.0,1254940000.0,408780000.0,789620680.0,82768980.0,14045130.0,126701690.0,15889830.0,26518340.0,21827540.0,48216630.0,177689620.0,28580650.0,94020750.0,105419770.0,47941760.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M06,793440000.0,1203280000.0,420970000.0,761072440.0,78807150.0,17737290.0,110921520.0,16323320.0,25911310.0,27636580.0,59224900.0,162331630.0,30162440.0,106114950.0,79102590.0,46798760.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M05,778740000.0,1179000000.0,410320000.0,737458590.0,81288920.0,13295470.0,108361730.0,16766640.0,27010620.0,26192270.0,57405960.0,160019550.0,29893630.0,90703510.0,81377150.0,45143150.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M04,745300000.0,1126280000.0,404740000.0,664248680.0,79903860.0,7996160.0,71652340.0,13842600.0,26483620.0,21202690.0,47851680.0,157240690.0,31703430.0,78448440.0,80944310.0,46978870.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M03,760800000.0,1145930000.0,394410000.0,679014960.0,75914900.0,8510270.0,125414240.0,49015930.0,29926280.0,11287150.0,45393480.0,152953080.0,12564690.0,71613910.0,71295340.0,25125680.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M02,791810000.0,1167790000.0,410800000.0,661704900.0,77290800.0,13158600.0,93730190.0,46021550.0,30173950.0,16543950.0,47045810.0,158829740.0,20855820.0,73044200.0,58320190.0,26690090.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003M01,790070000.0,1160700000.0,438230000.0,701126480.0,65939070.0,19160680.0,96718060.0,17333230.0,27464860.0,24413730.0,50351690.0,158216880.0,35667490.0,76934710.0,73934400.0,54991680.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M12,821800000.0,1181470000.0,467160000.0,685203370.0,64094790.0,15747620.0,87728580.0,19287640.0,27454260.0,25667180.0,45715880.0,144416790.0,33678300.0,90682630.0,77445950.0,53283750.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M11,727250000.0,1089090000.0,402580000.0,821713190.0,65403580.0,11460120.0,224212620.0,21516090.0,28328450.0,24893020.0,47799950.0,138109740.0,29832590.0,90340610.0,87868760.0,51947680.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M10,620420000.0,970280000.0,343420000.0,802601640.0,63375430.0,8792590.0,212521330.0,18271960.0,30154630.0,25103320.0,49158530.0,153665000.0,31003990.0,80146910.0,74809590.0,55598350.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M09,558330000.0,894360000.0,295530000.0,784823480.0,58183320.0,7848370.0,218919870.0,8106820.0,32100570.0,25521130.0,46571620.0,154040260.0,31441110.0,75751280.0,73710500.0,52628630.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M08,541240000.0,871750000.0,293790000.0,759572800.0,60529830.0,3665000.0,216349420.0,11319170.0,29294590.0,25716300.0,42290740.0,154596880.0,36474730.0,56647270.0,68890510.0,53798380.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M07,534120000.0,858520000.0,290080000.0,738246480.0,55964110.0,6746640.0,195434860.0,12645850.0,27440170.0,27405850.0,38321000.0,151489370.0,36628110.0,66879210.0,68113030.0,51178300.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M06,513910000.0,832270000.0,279500000.0,694157480.0,54997750.0,5027920.0,177077620.0,11746670.0,23913610.0,24313150.0,38004340.0,144833980.0,30843590.0,66874310.0,67171310.0,49353220.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M05,512750000.0,808680000.0,271520000.0,693728660.0,56183650.0,5129060.0,185888900.0,7421770.0,24727320.0,28366630.0,36563160.0,142168240.0,33643170.0,56283960.0,69663590.0,47689220.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M04,503690000.0,799500000.0,275860000.0,671919480.0,56751660.0,5031860.0,187022850.0,6471590.0,23674710.0,28576580.0,30594690.0,133070470.0,33429650.0,50213680.0,72227680.0,44854050.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M03,489390000.0,793860000.0,275360000.0,654965550.0,53659710.0,4262280.0,182478930.0,6902600.0,23322890.0,35773530.0,28311120.0,127846760.0,28480490.0,48797950.0,70134100.0,44995180.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M02,485900000.0,787840000.0,273650000.0,639061490.0,54074210.0,4849860.0,181426370.0,11295020.0,22918410.0,35261660.0,27455760.0,120277890.0,28104830.0,48273490.0,61755630.0,43368360.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2002M01,497100000.0,794340000.0,287910000.0,620424080.0,49791700.0,4690060.0,182299150.0,14064880.0,20482850.0,33689270.0,23888940.0,114660950.0,27215260.0,47134380.0,61063700.0,41442950.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M12,512170000.0,787400000.0,308990000.0,614821010.0,58781980.0,4769610.0,174714270.0,14739510.0,21623400.0,24845740.0,22192530.0,118568640.0,24371410.0,50251190.0,57973970.0,41988760.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M11,460910000.0,724410000.0,274300000.0,593298480.0,60729650.0,4001600.0,155310450.0,13785630.0,22447130.0,22525840.0,25739180.0,119202810.0,23786150.0,47337580.0,55341900.0,43090580.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M10,414030000.0,664930000.0,248140000.0,551653560.0,59544020.0,3297230.0,123958150.0,10480860.0,22063380.0,21874120.0,28206200.0,118842890.0,17853850.0,45413500.0,55630470.0,44488900.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M09,391730000.0,651070000.0,236860000.0,578708550.0,57039740.0,1499290.0,151019520.0,8097380.0,22880260.0,21545770.0,29506200.0,116080260.0,27221190.0,48361750.0,54238830.0,41218370.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M08,372890000.0,614310000.0,233130000.0,644760320.0,54174800.0,3385040.0,180429610.0,8615430.0,24149480.0,21655760.0,27467450.0,154452740.0,24505900.0,48731790.0,55328160.0,41864150.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M07,356630000.0,593780000.0,232840000.0,624712950.0,54633990.0,1637800.0,169938920.0,8077930.0,26075230.0,23032850.0,27213220.0,157692140.0,18826740.0,45192060.0,52523350.0,39868730.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M06,337930000.0,570640000.0,231010000.0,572434680.0,55991420.0,3078830.0,110955890.0,8742570.0,26815000.0,23920760.0,25424670.0,157995680.0,23870800.0,43707940.0,49796690.0,42134440.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M05,346240000.0,566670000.0,234930000.0,557714680.0,58545710.0,3466270.0,108150300.0,8124540.0,25167270.0,25824690.0,24235730.0,156957540.0,20977370.0,35440500.0,49701920.0,41122830.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M04,353440000.0,564580000.0,234640000.0,559358990.0,58814010.0,1295960.0,116480520.0,11979210.0,25047590.0,25995210.0,25339810.0,148828460.0,24214420.0,32868540.0,49797350.0,38697900.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M03,351790000.0,557580000.0,237160000.0,563771770.0,53932080.0,1768880.0,115955040.0,12661970.0,29904870.0,28033620.0,29202350.0,144118630.0,23179740.0,36149680.0,47711870.0,41153040.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M02,350740000.0,553850000.0,244380000.0,575277780.0,53321760.0,2236490.0,127321190.0,9357500.0,30626460.0,27925590.0,27826150.0,146442600.0,26399890.0,37280450.0,47984620.0,38555080.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2001M01,356740000.0,550990000.0,257640000.0,506326840.0,50620860.0,1656750.0,93473450.0,12901820.0,16742740.0,27075720.0,25975320.0,135785350.0,24474210.0,36167410.0,44951890.0,36501310.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M12,351650000.0,530490000.0,263550000.0,504400410.0,48648790.0,4208990.0,84935260.0,11485810.0,15457930.0,27932030.0,27511600.0,141695050.0,23023570.0,39602550.0,45822320.0,34076510.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M11,325100000.0,499580000.0,219050000.0,505861580.0,48750570.0,3326980.0,95038730.0,10629980.0,17405760.0,31081970.0,22378790.0,133751480.0,25282150.0,35127460.0,47878180.0,35209520.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M10,292470000.0,456720000.0,190870000.0,471878710.0,44650460.0,7435830.0,48040960.0,8663720.0,15773890.0,28786790.0,22807950.0,137172830.0,30768140.0,41267540.0,53069710.0,33440900.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M09,293260000.0,448100000.0,185060000.0,433185630.0,50770060.0,3072310.0,40048140.0,12153200.0,11846140.0,27824500.0,25076730.0,126616410.0,22353540.0,33757070.0,53151920.0,26515610.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M08,273730000.0,431420000.0,181360000.0,425733140.0,54009810.0,2296960.0,48844390.0,8490320.0,10857760.0,28114040.0,21593770.0,124424540.0,28044440.0,31569000.0,42389110.0,25099020.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M07,276940000.0,432210000.0,175740000.0,397436870.0,46095470.0,2893520.0,56657070.0,12738550.0,11177380.0,25552410.0,19741550.0,106286780.0,17486350.0,30146930.0,43851030.0,24809820.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M06,279620000.0,428260000.0,167630000.0,379359630.0,40589190.0,2782980.0,55140360.0,11869750.0,10216230.0,25033700.0,18965130.0,98078660.0,17823500.0,34233060.0,41231680.0,23395380.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M05,279530000.0,418310000.0,160230000.0,332221380.0,38957970.0,2796490.0,43030240.0,12055210.0,9695790.0,22777090.0,16444190.0,85707560.0,15387250.0,32715430.0,30187360.0,22466800.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M04,275700000.0,410210000.0,158220000.0,308765410.0,29938810.0,2232660.0,41837500.0,11906250.0,10299620.0,21346160.0,15617020.0,76480320.0,14527330.0,32392470.0,29345570.0,22841690.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M03,269000000.0,405850000.0,152540000.0,286243240.0,30136540.0,1192340.0,41819690.0,7621350.0,10239130.0,19506820.0,14623330.0,74670560.0,12838770.0,24360490.0,26926130.0,22308090.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M02,259660000.0,392860000.0,147180000.0,278920330.0,30760800.0,2585150.0,42128940.0,7109850.0,8056650.0,17922170.0,12212830.0,68860930.0,14814660.0,23743540.0,28288490.0,22436330.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,2000M01,257530000.0,395990000.0,153190000.0,273919020.0,33542190.0,3257660.0,36059630.0,8559900.0,8136500.0,16548370.0,11609090.0,71554650.0,14494180.0,21850470.0,26190260.0,22116110.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M12,254320000.0,397680000.0,158600000.0,298176330.0,34880900.0,6991500.0,45143590.0,14384690.0,7648920.0,16695770.0,12836800.0,71711230.0,12202520.0,23101550.0,26855410.0,25723460.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M11,231190000.0,369840000.0,129710000.0,267347310.0,32290990.0,4600420.0,37870460.0,6448660.0,6692240.0,14766240.0,13276070.0,70939910.0,10550340.0,22382460.0,24634030.0,22895500.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M10,211790000.0,351330000.0,113550000.0,249737910.0,29186350.0,2733320.0,39075800.0,5689470.0,6417710.0,13924430.0,12693090.0,64371180.0,9726410.0,21973970.0,22695910.0,21250270.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M09,200250000.0,339270000.0,101690000.0,235540120.0,28308490.0,822400.0,29676630.0,6044040.0,6978820.0,12782800.0,13634610.0,57242540.0,13604920.0,21938980.0,23302320.0,21203580.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M08,212150000.0,346990000.0,108860000.0,225717200.0,24748160.0,1511190.0,33622920.0,7275790.0,5959750.0,12142080.0,16402380.0,54568490.0,5464640.0,19437180.0,21963100.0,22621540.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M07,203490000.0,342580000.0,107310000.0,227506630.0,27350790.0,797190.0,37297420.0,6959280.0,5739670.0,12125630.0,13024770.0,54775560.0,8305520.0,17682020.0,21525080.0,21923700.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M06,205570000.0,336080000.0,102680000.0,217053450.0,25898270.0,1049590.0,30995690.0,6589910.0,5994890.0,12730410.0,12270120.0,53642110.0,8142240.0,16694950.0,21137880.0,21907370.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M05,199780000.0,327640000.0,101390000.0,213863590.0,27118850.0,7175340.0,27953160.0,10126360.0,5435780.0,12170150.0,12189950.0,48003570.0,7590980.0,14667610.0,19125030.0,22306810.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M04,195150000.0,321820000.0,95620000.0,201957810.0,24855830.0,2152600.0,28468390.0,6990510.0,4848870.0,12239310.0,11511220.0,49661030.0,7846880.0,14291440.0,17750890.0,21340840.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M03,199410000.0,321660000.0,99520000.0,192201910.0,24013910.0,2843180.0,28159610.0,6473610.0,4811540.0,10280040.0,10830720.0,45458720.0,7151380.0,13469550.0,17730530.0,20979120.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M02,201140000.0,322290000.0,101510000.0,186183200.0,23853000.0,2218850.0,30875310.0,5026030.0,4225970.0,10325800.0,8786170.0,45478330.0,7567670.0,12527410.0,15882330.0,19416330.0
Ghana Monetary Data,Ghana Statistical Service (GSS StatsBank),2026-04-20,1999M01,207320000.0,325570000.0,109000000.0,184711480.0,23106240.0,4609250.0,29849920.0,3686130.0,3808560.0,10496870.0,8866310.0,44340160.0,7690400.0,11946380.0,16235670.0,20075590.0
