Dataset,Source,Scraped Date,Month,Producer Price Index,Year-on-year PPI change (%),Month-on-month PPI change (%)
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M09,110.0,8.8,1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M08,108.0,7.0,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M07,107.8,7.8,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M06,106.3,8.0,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M05,105.0,9.5,3.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M04,101.1,6.7,-0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M03,101.3,8.5,-3.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M02,105.2,10.3,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M01,105.3,8.7,3.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M12,102.0,7.0,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M11,101.5,8.1,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M10,101.4,8.4,0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M09,101.1,9.7,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M08,100.9,9.0,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M07,100.0,9.3,1.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M06,98.4,9.5,2.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M05,95.9,8.4,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M04,94.8,7.4,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M03,93.4,6.8,-2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2020M02,95.3,10.5,-1.5
