Dataset,Source,Scraped Date,Month,Producer Price Index All industries,Producer Price Index Mining and quarrying,Producer Price Index Mining and quarrying (excluding petroleum)*,Producer Price Index Manufacturing,Producer Price Index Electricity and gas,"Producer Price Index Water supply, sewerage, waste management","Producer Price Index Water collection, treatment and supply*",Producer Price Index Construction,Producer Price Index Transportation and storage,Producer Price Index Accommdation and food service,Producer Price Index Information and communication,Year-on-year PPI change (%) All industries,Year-on-year PPI change (%) Mining and quarrying,Year-on-year PPI change (%) Mining and quarrying (excluding petroleum)*,Year-on-year PPI change (%) Manufacturing,Year-on-year PPI change (%) Electricity and gas,"Year-on-year PPI change (%) Water supply, sewerage, waste management","Year-on-year PPI change (%) Water collection, treatment and supply*",Year-on-year PPI change (%) Construction,Year-on-year PPI change (%) Transportation and storage,Year-on-year PPI change (%) Accommdation and food service,Year-on-year PPI change (%) Information and communication,Month-on-month PPI change (%) All industries,Month-on-month PPI change (%) Mining and quarrying,Month-on-month PPI change (%) Mining and quarrying (excluding petroleum)*,Month-on-month PPI change (%) Manufacturing,Month-on-month PPI change (%) Electricity and gas,"Month-on-month PPI change (%) Water supply, sewerage, waste management","Month-on-month PPI change (%) Water collection, treatment and supply*",Month-on-month PPI change (%) Construction,Month-on-month PPI change (%) Transportation and storage,Month-on-month PPI change (%) Accommdation and food service,Month-on-month PPI change (%) Information and communication
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M12,70.9,..,40.3,75.2,95.0,..,90.6,..,..,..,..,11.0,..,4.8,3.7,56.6,..,103.0,..,..,..,..,6.1,..,-1.4,-0.4,48.8,..,67.2,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M11,66.9,..,40.9,75.5,63.8,..,54.2,..,..,..,..,3.0,..,7.3,1.7,5.3,..,21.4,..,..,..,..,-0.7,..,-5.5,0.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M10,67.4,..,43.3,75.4,63.8,..,54.2,..,..,..,..,2.9,..,8.7,1.2,5.3,..,21.4,..,..,..,..,-0.5,..,2.4,-1.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M09,67.8,..,42.3,76.4,63.8,..,54.2,..,..,..,..,4.8,..,5.0,4.2,7.2,..,21.4,..,..,..,..,2.1,..,5.4,2.0,-0.9,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M08,66.4,..,40.1,74.9,64.4,..,54.2,..,..,..,..,3.9,..,1.7,3.5,8.4,..,21.4,..,..,..,..,-3.8,..,1.4,-5.9,0.4,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M07,69.0,..,39.5,79.6,64.1,..,54.2,..,..,..,..,10.2,..,1.5,12.9,7.3,..,21.4,..,..,..,..,-1.5,..,-18.3,2.5,0.1,..,15.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M06,70.1,..,48.4,77.6,64.1,..,47.1,..,..,..,..,23.1,..,30.0,21.9,20.8,..,12.0,..,..,..,..,4.4,..,4.4,5.3,0.4,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M05,67.2,..,46.3,73.7,63.8,..,47.1,..,..,..,..,18.8,..,25.4,16.7,20.6,..,12.0,..,..,..,..,0.7,..,2.0,0.6,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M04,66.7,..,45.4,73.2,63.8,..,47.1,..,..,..,..,19.5,..,27.1,17.2,20.7,..,12.0,..,..,..,..,2.8,..,7.5,1.1,4.5,..,5.6,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M03,64.9,..,42.3,72.4,61.0,..,44.6,..,..,..,..,19.2,..,23.0,19.2,15.8,..,6.1,..,..,..,..,0.9,..,3.2,0.6,0.3,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M02,64.3,..,40.9,72.0,60.8,..,44.6,..,..,..,..,21.8,..,29.3,21.5,15.7,..,6.1,..,..,..,..,2.1,..,2.2,2.3,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2015M01,63.0,..,40.1,70.4,60.7,..,44.6,..,..,..,..,22.8,..,36.4,21.6,15.8,..,6.1,..,..,..,..,-1.4,..,4.2,-2.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M12,63.9,..,38.5,72.5,60.6,..,44.6,..,..,..,..,33.4,..,43.3,32.7,27.5,..,13.3,..,..,..,..,-1.6,..,0.9,-2.3,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M11,64.9,..,38.1,74.2,60.6,..,44.6,..,..,..,..,37.6,..,40.6,39.2,27.6,..,13.3,..,..,..,..,-0.9,..,-4.3,-0.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M10,65.5,..,39.8,74.4,60.6,..,44.6,..,..,..,..,40.1,..,48.7,41.1,27.8,..,13.3,..,..,..,..,1.3,..,-1.1,1.5,1.8,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M09,64.7,..,40.3,73.3,59.5,..,44.6,..,..,..,..,47.0,..,50.6,40.1,76.1,..,72.2,..,..,..,..,1.3,..,2.1,1.3,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M08,63.9,..,39.4,72.4,59.4,..,44.6,..,..,..,..,48.6,..,50.7,42.3,75.8,..,72.2,..,..,..,..,1.9,..,1.3,2.7,-0.5,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M07,62.7,..,38.9,70.5,59.7,..,44.6,..,..,..,..,47.2,..,50.9,40.2,76.8,..,72.2,..,..,..,..,10.0,..,4.7,10.7,12.6,..,6.1,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M06,57.0,..,37.2,63.7,53.0,..,42.0,..,..,..,..,33.1,..,37.3,27.1,56.9,..,62.3,..,..,..,..,0.7,..,0.7,0.8,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M05,56.5,..,36.9,63.2,52.9,..,42.0,..,..,..,..,33.0,..,35.2,27.5,56.8,..,62.3,..,..,..,..,1.3,..,3.4,1.1,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M04,55.8,..,35.7,62.5,52.8,..,42.0,..,..,..,..,31.3,..,25.2,27.4,56.5,..,62.3,..,..,..,..,2.6,..,3.9,2.8,0.3,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M03,54.4,..,34.4,60.8,52.7,..,42.0,..,..,..,..,27.8,..,14.5,25.1,56.1,..,62.3,..,..,..,..,3.1,..,8.5,2.6,0.3,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M02,52.8,..,31.7,59.3,52.5,..,42.0,..,..,..,..,27.1,..,3.1,27.2,55.7,..,62.3,..,..,..,..,2.9,..,7.9,2.4,0.3,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2014M01,51.3,..,29.4,57.9,52.4,..,42.0,..,..,..,..,23.3,..,-5.8,24.2,55.3,..,62.3,..,..,..,..,7.1,..,9.4,5.9,10.2,..,6.8,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M12,47.9,..,26.8,54.7,47.6,..,39.4,..,..,..,..,15.3,..,-13.2,17.4,41.0,..,52.0,..,..,..,..,1.6,..,-0.9,2.5,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M11,47.2,..,27.1,53.3,47.5,..,39.4,..,..,..,..,13.0,..,-14.9,14.5,40.8,..,52.0,..,..,..,..,0.9,..,1.2,1.1,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M10,46.7,..,26.8,52.8,47.4,..,39.4,..,..,..,..,11.6,..,-17.7,13.3,40.5,..,52.0,..,..,..,..,6.2,..,0.2,0.8,40.3,..,52.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M09,44.0,..,26.7,52.4,33.8,..,25.9,..,..,..,..,5.8,..,-16.9,13.3,0.2,..,0.0,..,..,..,..,2.3,..,2.1,2.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M08,43.0,..,26.2,50.9,33.8,..,25.9,..,..,..,..,4.7,..,-14.1,10.8,0.2,..,0.0,..,..,..,..,1.0,..,1.4,1.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M07,42.6,..,25.8,50.3,33.8,..,25.9,..,..,..,..,5.0,..,-13.1,10.9,0.2,..,0.0,..,..,..,..,-0.5,..,-4.8,0.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M06,42.8,..,27.1,50.1,33.8,..,25.9,..,..,..,..,7.0,..,-1.4,10.6,0.6,..,0.0,..,..,..,..,0.6,..,-0.8,1.1,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M05,42.5,..,27.3,49.5,33.8,..,25.9,..,..,..,..,8.3,..,-1.9,12.8,0.5,..,0.0,..,..,..,..,0.0,..,-4.3,1.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M04,42.5,..,28.5,49.1,33.8,..,25.9,..,..,..,..,10.2,..,2.4,14.4,1.0,..,0.0,..,..,..,..,-0.1,..,-4.9,0.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M03,42.6,..,30.0,48.6,33.7,..,25.9,..,..,..,..,10.6,..,6.4,14.1,1.0,..,0.0,..,..,..,..,2.5,..,-2.3,4.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M02,41.5,..,30.7,46.6,33.7,..,25.9,..,..,..,..,9.1,..,7.8,11.4,1.1,..,0.0,..,..,..,..,-0.3,..,-1.4,0.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2013M01,41.6,..,31.2,46.6,33.7,..,25.9,..,..,..,..,11.5,..,18.5,12.8,1.2,..,0.0,..,..,..,..,0.2,..,0.8,0.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M12,41.6,..,30.9,46.6,33.7,..,25.9,..,..,..,..,17.1,..,26.8,19.3,1.5,..,0.5,..,..,..,..,-0.4,..,-2.9,0.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M11,41.7,..,31.9,46.6,33.7,..,25.9,..,..,..,..,15.8,..,19.6,19.0,2.9,..,1.5,..,..,..,..,-0.3,..,-2.1,0.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M10,41.9,..,32.5,46.6,33.7,..,25.9,..,..,..,..,19.1,..,30.8,21.5,2.9,..,1.5,..,..,..,..,0.7,..,1.1,0.7,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M09,41.6,..,32.2,46.2,33.7,..,25.9,..,..,..,..,16.8,..,19.5,20.5,3.0,..,1.5,..,..,..,..,1.3,..,5.7,0.7,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M08,41.1,..,30.5,45.9,33.7,..,25.9,..,..,..,..,17.8,..,16.9,20.4,10.5,..,8.6,..,..,..,..,1.3,..,2.6,1.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M07,40.5,..,29.7,45.3,33.7,..,25.9,..,..,..,..,19.0,..,27.0,20.0,10.6,..,8.6,..,..,..,..,1.4,..,8.1,0.1,0.4,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M06,40.0,..,27.5,45.3,33.6,..,25.9,..,..,..,..,19.2,..,19.5,22.2,10.1,..,8.6,..,..,..,..,1.9,..,-1.3,3.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M05,39.2,..,27.8,43.9,33.6,..,25.9,..,..,..,..,17.4,..,22.5,18.9,10.1,..,8.6,..,..,..,..,1.7,..,-0.1,2.4,0.5,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M04,38.6,..,27.9,42.9,33.4,..,25.9,..,..,..,..,15.8,..,24.3,16.2,9.5,..,8.6,..,..,..,..,0.3,..,-1.2,0.7,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M03,38.5,..,28.2,42.6,33.4,..,25.9,..,..,..,..,16.2,..,31.5,15.5,9.5,..,8.6,..,..,..,..,1.1,..,-1.0,1.8,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M02,38.1,..,28.5,41.8,33.4,..,25.9,..,..,..,..,16.1,..,39.3,13.8,9.4,..,8.6,..,..,..,..,2.0,..,8.3,1.2,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2012M01,37.3,..,26.3,41.3,33.3,..,25.9,..,..,..,..,15.0,..,28.0,14.3,9.3,..,8.6,..,..,..,..,5.2,..,7.8,5.8,0.2,..,0.5,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M12,35.5,..,24.4,39.1,33.2,..,25.8,..,..,..,..,13.6,..,18.2,15.2,9.1,..,8.1,..,..,..,..,-1.5,..,-8.4,-0.2,1.4,..,1.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M11,36.0,..,26.6,39.1,32.8,..,25.5,..,..,..,..,17.9,..,36.4,17.5,7.7,..,7.0,..,..,..,..,2.5,..,7.1,2.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M10,35.2,..,24.9,38.3,32.8,..,25.5,..,..,..,..,16.4,..,31.4,16.2,7.7,..,7.0,..,..,..,..,-1.2,..,-7.7,0.0,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M09,35.6,..,26.9,38.3,32.8,..,25.5,..,..,..,..,19.6,..,50.7,16.6,7.7,..,7.0,..,..,..,..,2.1,..,3.4,0.6,7.4,..,7.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M08,34.9,..,26.0,38.1,30.5,..,23.9,..,..,..,..,17.2,..,46.9,16.3,0.3,..,0.0,..,..,..,..,2.4,..,11.4,0.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M07,34.1,..,23.4,37.8,30.5,..,23.9,..,..,..,..,13.9,..,34.2,14.3,0.3,..,0.0,..,..,..,..,1.5,..,1.7,1.9,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M06,33.5,..,23.0,37.1,30.5,..,23.9,..,..,..,..,12.0,..,30.1,12.0,0.3,..,0.0,..,..,..,..,0.4,..,1.1,0.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M05,33.4,..,22.7,36.9,30.5,..,23.9,..,..,..,..,23.2,..,32.6,11.8,71.8,..,13.9,..,..,..,..,0.3,..,1.4,0.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M04,33.3,..,22.4,36.9,30.5,..,23.9,..,..,..,..,24.3,..,37.1,12.2,72.0,..,13.9,..,..,..,..,0.6,..,4.5,0.1,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M03,33.1,..,21.4,36.9,30.5,..,23.9,..,..,..,..,23.5,..,32.3,11.8,72.0,..,13.9,..,..,..,..,1.0,..,4.8,0.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M02,32.8,..,20.5,36.8,30.5,..,23.9,..,..,..,..,22.3,..,27.9,11.2,71.9,..,13.9,..,..,..,..,1.1,..,-0.5,1.7,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2011M01,32.5,..,20.6,36.1,30.5,..,23.9,..,..,..,..,20.8,..,26.0,9.7,71.8,..,13.9,..,..,..,..,3.9,..,-0.4,6.6,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M12,31.2,..,20.6,33.9,30.5,..,23.9,..,..,..,..,17.8,..,25.3,5.1,71.8,..,13.9,..,..,..,..,2.2,..,5.7,1.8,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M11,30.6,..,19.5,33.3,30.4,..,23.9,..,..,..,..,16.0,..,20.3,3.8,71.5,..,13.9,..,..,..,..,1.1,..,3.2,1.0,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M10,30.2,..,18.9,33.0,30.4,..,23.9,..,..,..,..,17.5,..,21.4,5.5,71.3,..,13.9,..,..,..,..,1.5,..,5.9,0.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M09,29.8,..,17.9,32.9,30.4,..,23.9,..,..,..,..,16.9,..,18.8,5.9,71.3,..,13.9,..,..,..,..,0.1,..,0.8,0.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M08,29.7,..,17.7,32.8,30.4,..,23.9,..,..,..,..,18.0,..,21.3,6.5,71.2,..,13.9,..,..,..,..,-0.5,..,1.7,-0.8,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M07,29.9,..,17.4,33.0,30.4,..,23.9,..,..,..,..,18.9,..,19.9,7.6,71.1,..,13.9,..,..,..,..,-0.2,..,-1.3,-0.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M06,29.9,..,17.7,33.1,30.4,..,23.9,..,..,..,..,19.4,..,23.5,7.5,71.3,..,13.9,..,..,..,..,10.4,..,3.0,0.2,71.4,..,13.9,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M05,27.1,..,17.1,33.0,17.8,..,20.9,..,..,..,..,16.2,..,22.9,18.5,0.0,..,0.0,..,..,..,..,1.1,..,4.8,0.4,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M04,26.8,..,16.4,32.9,17.7,..,20.9,..,..,..,..,16.9,..,25.9,19.1,0.1,..,0.0,..,..,..,..,0.0,..,0.9,-0.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M03,26.8,..,16.2,33.0,17.7,..,20.9,..,..,..,..,19.1,..,24.0,22.9,0.2,..,0.0,..,..,..,..,0.0,..,1.4,-0.3,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M02,26.8,..,16.0,33.1,17.7,..,20.9,..,..,..,..,22.1,..,24.5,27.6,0.4,..,0.0,..,..,..,..,-0.1,..,-2.0,0.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2010M01,26.9,..,16.3,32.9,17.7,..,20.9,..,..,..,..,26.3,..,44.3,29.5,0.7,..,0.0,..,..,..,..,1.3,..,-1.0,2.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M12,26.5,..,16.5,32.2,17.7,..,20.9,..,..,..,..,27.7,..,64.0,27.5,0.9,..,0.0,..,..,..,..,0.6,..,1.5,0.5,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M11,26.3,..,16.2,32.1,17.7,..,20.9,..,..,..,..,20.4,..,67.1,16.3,1.0,..,0.0,..,..,..,..,2.5,..,4.1,2.7,-0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M10,25.7,..,15.6,31.2,17.8,..,20.9,..,..,..,..,15.3,..,56.6,10.5,1.2,..,0.0,..,..,..,..,1.0,..,3.6,0.6,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M09,25.5,..,15.0,31.1,17.8,..,20.9,..,..,..,..,14.6,..,53.3,10.1,1.3,..,0.0,..,..,..,..,1.1,..,2.9,0.9,-0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M08,25.2,..,14.6,30.8,17.8,..,20.9,..,..,..,..,14.1,..,50.1,10.0,1.5,..,0.0,..,..,..,..,0.2,..,0.5,0.2,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M07,25.1,..,14.5,30.7,17.8,..,20.9,..,..,..,..,16.1,..,41.7,14.4,1.8,..,0.0,..,..,..,..,0.2,..,1.6,-0.2,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M06,25.1,..,14.3,30.8,17.8,..,20.9,..,..,..,..,17.8,..,50.5,15.4,1.8,..,0.0,..,..,..,..,7.4,..,2.6,10.4,0.0,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M05,23.4,..,13.9,27.9,17.8,..,20.9,..,..,..,..,10.9,..,48.9,6.1,1.9,..,0.0,..,..,..,..,1.8,..,7.3,1.0,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M04,22.9,..,13.0,27.6,17.7,..,20.9,..,..,..,..,12.2,..,33.6,10.6,1.7,..,0.0,..,..,..,..,1.8,..,-0.6,2.9,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M03,22.5,..,13.1,26.8,17.7,..,20.9,..,..,..,..,11.6,..,33.8,10.0,1.6,..,0.0,..,..,..,..,2.6,..,1.7,3.6,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M02,22.0,..,12.8,25.9,17.7,..,20.9,..,..,..,..,12.6,..,37.5,11.0,1.5,..,0.0,..,..,..,..,3.3,..,13.6,1.8,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2009M01,21.3,..,11.3,25.4,17.6,..,20.9,..,..,..,..,11.6,..,30.5,11.0,1.3,..,0.0,..,..,..,..,2.4,..,12.6,0.6,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M12,20.8,..,10.0,25.3,17.6,..,20.9,..,..,..,..,9.6,..,22.6,10.4,1.1,..,0.0,..,..,..,..,-5.2,..,3.4,-8.3,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M11,21.9,..,9.7,27.6,17.6,..,20.9,..,..,..,..,19.2,..,19.1,25.5,3.0,..,34.1,..,..,..,..,-1.9,..,-2.4,-2.4,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M10,22.3,..,10.0,28.3,17.6,..,20.9,..,..,..,..,34.2,..,41.4,33.7,33.6,..,34.1,..,..,..,..,0.4,..,1.5,0.2,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M09,22.2,..,9.8,28.2,17.5,..,20.9,..,..,..,..,36.9,..,43.6,36.5,33.6,..,34.1,..,..,..,..,0.6,..,0.8,0.8,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M08,22.1,..,9.7,28.0,17.5,..,20.9,..,..,..,..,36.9,..,50.5,34.8,33.5,..,34.1,..,..,..,..,2.0,..,-5.1,4.2,0.2,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M07,21.7,..,10.3,26.9,17.5,..,20.9,..,..,..,..,38.1,..,59.5,32.7,44.5,..,34.1,..,..,..,..,1.7,..,7.9,0.7,0.1,..,0.0,..,..,..,..
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2008M06,21.3,..,9.5,26.7,17.4,..,20.9,..,..,..,..,37.1,..,47.5,33.2,44.3,..,34.1,..,..,..,..,1.2,..,1.5,1.5,0.1,..,0.0,..,..,..,..
