Dataset,Source,Scraped Date,Time_Period,Value in Ghana Cedis (nominal),Value in Ghana Cedis (real),Value in US Dollars,Net weight in KG
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q3,72437747663,44165447423,8931114043,7369128887
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M09,27294713892,16564247596,3089617037,2497086990
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M08,22985243956,14034343551,2851425937,2490983360
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M07,22157789815,13566856276,2990071069,2381058537
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q2,65244457899,44007307143,9131698733,8005363300
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M06,23738916284,16011972525,3301631153,2662279533
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M05,20739058117,13988355011,2910264419,2561098967
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M04,20766483498,14006979607,2919803162,2781984800
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q1,63259485736,49057997239,9738429162,9441828255
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M03,25956515527,20133837800,3683173857,3564183016
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M02,18759494756,14546791475,2970084862,2805419683
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M01,18543475453,14377367963,3085170443,3072225556
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021,189680499272,178545029308,32664805919,40660423797
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q4,49628564730,43901883246,8392813978,8947665299
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M12,16537866049,14632524016,2779933649,2631726472
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M11,18003708918,15915688449,3047594413,3523875536
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M10,15086989763,13353670782,2565285916,2792063292
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q3,49312553031,45855068640,8472193111,12645679716
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M09,14576162245,13536588556,2487557237,2959481665
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M08,15794351185,14656594636,2710522325,3168930796
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M07,18942039601,17661885448,3274113549,6517267255
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q2,46260734427,44309430338,8060541720,9658977542
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M06,16696024136,15997304909,2902601939,3065564200
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M05,13869830999,13281207451,2419295361,3283473649
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M04,15694879293,15030917978,2738644420,3309939692
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q1,44478647084,44478647084,7739257109,9408101239
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M03,16444782011,16444782011,2871290565,3764452669
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M02,14492910073,14492910073,2517449274,2814270496
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2021M01,13540955000,13540955000,2350517270,2829378074
