category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",Decakila 4.5l Air Frye,699.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCh20koZXcuQvWr3PJ5Y3ErF5Ca-decakila-4-5l-air-frye.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Top Tower 1.5hptcl,3799.0,Brand New,"Brand New, No",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgCOcuWpbaKxRFN3eGoxAu8ddn-top-tower-1-5hptcl.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Semi-Automatic Samsung-9kg-Twin-Top-Semi-Auto-Washer-Washing,3999.0,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",False,https://tonaton.com/a-MfYFNdCgZdfvREUZKhPovEt6Oaj4UPwv-semi-automatic-samsung-9kg-twin-top-semi-auto-washer-washing.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Nasco 106l Double Door Fridge,2399.0,Brand New,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",False,https://tonaton.com/a-MfYFNdCgoj35sHnPyhgdRh5flcDiAt3l-nasco-106l-double-door-fridge.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Industrial Designer Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgSx2AEQmLQl2w8XFBEl2g7XRu-industrial-designer-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Inbuilt Bed,1350.0,Brand New,"Bulk prices, Brand New",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgSCpJPTLFDUjYDFwcswTVpIRd-inbuilt-bed.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Energy Saving Wadfow Detachable Blender Cordless Stand,900.0,Brand New,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",False,https://tonaton.com/a-MfYFNdCgwdr24d6bV3kvJ0x4XTxyrkx6-energy-saving-wadfow-detachable-blender-cordless-stand.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Adepa Bed Double Bed,1280.0,Brand New,Brand New,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",False,https://tonaton.com/a-MfYFNdCgm21K8ZycSo1w3SVwLzbaIuLL-adepa-bed-double-bed.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Bundle Size Industrial Floor Carpet,240.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgi6ut9CiGViP6QonjNfTMgFy8-bundle-size-industrial-floor-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Square Floor Carpet,15.0,,,Greater Accra,Adabraka,"Greater Accra, Adabraka",False,https://tonaton.com/a-MfYFNdCgeV1yjGBhNJkMoIjQ09LMJnMy-square-floor-carpet.html,Tonaton Ghana (tonaton.com),2026-04-20
