Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
"Home, Furniture & Appliances",White Pebbles,400.0,GH₵ 400,,,Bulk prices,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",https://tonaton.com/a-MfYFNdCgdOHjIaU1ztoYt5Tes3fXsn2o-white-pebbles.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Feel Good Air Bruhm Ac Split 1.5hp R410+ Free Wallmount,4499.0,"GH₵ 4,499",,Brand New,"Brand New, Yes",Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgSYVak1JWWQAxV4jeEhU8tOF3-feel-good-air-bruhm-ac-split-1-5hp-r410-free-wallmount.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Buy for Less From 10gig Stove Cooker 4:2 Oven Ignition,5399.0,"GH₵ 5,399",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-LuubBC0gffBaXp0FirQj7d4QluIFh5I-buy-for-less-from-10gig-stove-cooker-4-2-oven-ignition.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Spectacular Performance WM Topload 18kg Haier,6999.0,"GH₵ 6,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCglmGmhY8d676u4KOom23EqHuQ-spectacular-performance-wm-topload-18kg-haier.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Manual Juicer#.Out of Stock Now,70.0,GH₵ 70,,Brand New,Brand New,Greater Accra,Burma Camp,"Greater Accra, Burma Camp",https://tonaton.com/a-MfYFNdCgRULxs0ED06812V2VlYLzw87z-manual-juicer-out-of-stock-now.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Cool  Price Chigo 60/60 Oven Rotisserie 4burner Gas Cooker,2699.0,"GH₵ 2,699",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgekhEDJzm6iaNuut3pY4ktLzc-cool-price-chigo-60-60-oven-rotisserie-4burner-gas-cooker.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Energy Saving Haley-Hy-9034 3000watt Electric Vacuum Cleaner(Blue),999.0,GH₵ 999,,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgVavXrnJYsZihBcdeC7m3dJiK-energy-saving-haley-hy-9034-3000watt-electric-vacuum-cleaner-blue.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Oven Grill 4burner 60/50 Sliver Gas Cooker Oven Grill,2499.0,"GH₵ 2,499",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgG47yyJihJPlxo7N4DOJnfzb6-oven-grill-4burner-60-50-sliver-gas-cooker-oven-grill.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Powerful Air Flow for a Comfortable Home,500.0,GH₵ 500,,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgT8sJf78RbavBIc2YNq28ewBD-powerful-air-flow-for-a-comfortable-home.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Midea 60cm Cooker Hood| Stainless Steel [60M21]Electric .,2999.0,"GH₵ 2,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgIhaKCcjBSXy0lQgaAvHS2WQN-midea-60cm-cooker-hood-stainless-steel-60m21-electric.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Pearl 100L Chest Freezer - Fast Freeze Feature - Like New,2700.0,"GH₵ 2,700",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgJJkWW2eF3lWBvhJb4yJro7x3-pearl-100l-chest-freezer-fast-freeze-feature-like-new.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Purchase Quality Nasco 50L Electric Water Heater(White),1999.0,"GH₵ 1,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgvtmFV988X54QSXiIabt9Wm9G-purchase-quality-nasco-50l-electric-water-heater-white.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",10pcs Decorative Love Balloons,70.0,GH₵ 70,,,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgxNGtl6LbL7NmQxR6n3BHZlKz-10pcs-decorative-love-balloons.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",The Wrinkle-Free Secret: Midea Garment Steamer,1450.0,"GH₵ 1,450",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCglITVXVNBLkekDQR8GX3Co9x2-the-wrinkle-free-secret-midea-garment-steamer.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Available Now at Store Haier 18kg Topload Washing Machine,6999.0,"GH₵ 6,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCglVbq6WXeJB3aRJKWpA3Awapq-available-now-at-store-haier-18kg-topload-washing-machine.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Charcoal Grill,2200.0,"GH₵ 2,200",,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgeTRcoAIO2Qx6WGA4QRCKqJZP-charcoal-grill.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",High Purchase Pearl Chest Freezer Double Door PCF-550 400l,8999.0,"GH₵ 8,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgB0OxiTySp25MfisIBHlyOTcu-high-purchase-pearl-chest-freezer-double-door-pcf-550-400l.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Available Now Nasco Double Door  Fridge. As-120fl,1799.0,"GH₵ 1,799",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgN8ozcwoAfc9DFi3MVq0ZXlCu-available-now-nasco-double-door-fridge-as-120fl.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",The Current Gas Cooker Stove Oven 4burner 50/50 Blue,1499.0,"GH₵ 1,499",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCghPvNppaK0MC1kLDtR7YbTeRf-the-current-gas-cooker-stove-oven-4burner-50-50-blue.html,Tonaton Ghana (tonaton.com),2026-04-27
