Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Property / Real Estate,"3bdrm House in East Legon Hills, Police Station for sale",1500000.0,"GH₵ 1,500,000",,,"3, 4, Unfurnished, 100 sqm, Agent",Greater Accra,East Legon,"Greater Accra, East Legon",https://tonaton.com/a-MfYFNdCgL8Sqxg438jdfRccCcV6BCLOX-3bdrm-house-in-east-legon-hills-police-station-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"2bdrm House in Oyarifa $90,000 for sale",1000000.0,"GH₵ 1,000,000",,,"120 sqm, 2, Semi-Furnished, 3, Agent",Greater Accra,Oyarifa,"Greater Accra, Oyarifa",https://tonaton.com/a-MfYFNdCgwonLQC4Vfj6RDbxX7cEFGVQW-2bdrm-house-in-oyarifa-90-000-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,5bdrm House in Mallam Gbawe for sale,1600000.0,"GH₵ 1,600,000",,,"30 sqm, 5, Semi-Furnished, 4",Greater Accra,Gbawe,"Greater Accra, Gbawe",https://tonaton.com/a-MfYFNdCgAI6De6usuTl5Bg0Hh0251eFy-5bdrm-house-in-mallam-gbawe-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"Furnished 4bdrm House in Santasi Trede., Kumasi Metropolitan for sale",1500000.0,"GH₵ 1,500,000",,,"90 sqm, 4, Furnished, 4, Agent",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",https://tonaton.com/a-MfYFNdCgzwBM7ZyFDcDIJeYsdNMG1HKL-furnished-4bdrm-house-in-santasi-trede-kumasi-metropolitan-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"Furnished 4bdrm House in Santasi Trede., Kumasi Metropolitan for sale",1500000.0,"GH₵ 1,500,000",,,"90 sqm, 4, Furnished, 4, Agent",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",https://tonaton.com/a-MfYFNdCgzwBM7ZyFDcDIJeYsdNMG1HKL-furnished-4bdrm-house-in-santasi-trede-kumasi-metropolitan-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,6bdrm House in Accra for sale,6575000.0,"GH₵ 6,575,000",,,"1320 sqm, 6, Semi-Furnished, 7, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgf2yFvcUWtHJETUDrWjCMuRbk-6bdrm-house-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,3bdrm Villa in Accra for sale,4500000.0,"GH₵ 4,500,000",,,"380 sqm, 3, Semi-Furnished, 4, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgoXgRkk7SKu9YOLrbMrjnm1xH-3bdrm-villa-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"3bdrm House in Sam Properties, Pokuase for sale",820000.0,"GH₵ 820,000",,,"30 sqm, 3, Semi-Furnished, 2",Greater Accra,Pokuase,"Greater Accra, Pokuase",https://tonaton.com/a-MfYFNdCgdZCHPoGKy08xDpQRbx7T0ukX-3bdrm-house-in-sam-properties-pokuase-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,3bdrm Apartment in Adenta for rent,2500.0,"GH₵ 2,500",per month,,"400 sqm, Semi-Furnished, 3, 4",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCglUh3lFkxWJW8AuNaMGVjWkS1-3bdrm-apartment-in-adenta-for-rent.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"3bdrm House in Sam Properties, Ga South Municipal for sale",850000.0,"GH₵ 850,000",,,"30 sqm, 3, Semi-Furnished, 2",Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal",https://tonaton.com/a-LuubBC0hhkbFenvkKFsFQAg8qBu21Ci-3bdrm-house-in-sam-properties-ga-south-municipal-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,1bdrm Apartment in Adenta for rent,1400.0,"GH₵ 1,400",per month,,"Agent, 250 sqm, Unfurnished, 1, 1",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCghlOqDJehUneTsflMZ2kny8YC-1bdrm-apartment-in-adenta-for-rent.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,4bdrm Duplex in Accra for sale,3980000.0,"GH₵ 3,980,000",,,"450 sqm, 4, Semi-Furnished, 5, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgK1F6Y155u4CxLkn7rW7GFzwR-4bdrm-duplex-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in Buoho Sasa, Kumasi Metropolitan for sale",650000.0,"GH₵ 650,000",,,"90 sqm, 4, Unfurnished, 3, Agent",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",https://tonaton.com/a-MfYFNdCh2N1CVNhRNNi5T5BMJfjh9LEE-4bdrm-house-in-buoho-sasa-kumasi-metropolitan-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,4bdrm Mansion in Accra for sale,3500000.0,"GH₵ 3,500,000",,,"480 sqm, 4, Semi-Furnished, 4, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgpqd1NbeRZIdAUbmUoGbvWgtc-4bdrm-mansion-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in Mayera, Pokuase for sale",1000000.0,"GH₵ 1,000,000",,,"650 sqm, 4, Unfurnished, 4, Agent",Greater Accra,Pokuase,"Greater Accra, Pokuase",https://tonaton.com/a-MfYFNdCgtMHbzebcbs4Y6QNVVozU1fzS-4bdrm-house-in-mayera-pokuase-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,31 Acres of Land at Borteyman,6000000.0,"GH₵ 6,000,000",Outright Price,,3100 sqm,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",https://tonaton.com/a-MfYFNdCgw1YhEkzin3hbFWr0TxpU3vCL-31-acres-of-land-at-borteyman.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,5bdrm Penthouse in Accra for sale,14999000.0,"GH₵ 14,999,000",,,"615 sqm, 5, Semi-Furnished, 6, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgppPv9BQC7sJXmrjUdHibGRlN-5bdrm-penthouse-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"5bdrm Duplex in East Legon Hills, Accra Metropolitan for sale",4418900.0,"GH₵ 4,418,900",,,"520 sqm, 5, Semi-Furnished, 5, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgDsZSqhIRh8RfcDSGRCi6XLPt-5bdrm-duplex-in-east-legon-hills-accra-metropolitan-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,4bdrm House in Tikrom Kumasi for sale,650000.0,"GH₵ 650,000",,,"140 sqm, 4, Unfurnished, 4",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",https://tonaton.com/a-MfYFNdCgWpYNlZIQyeAxaYh9nVU3C4pc-4bdrm-house-in-tikrom-kumasi-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,6bdrm Mansion in Accra for sale,7345000.0,"GH₵ 7,345,000",,,"1300 sqm, 6, Semi-Furnished, 8, Developer",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgLjBs8NB53vz1QyiuDhzBKfsR-6bdrm-mansion-in-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"Furnished 4bdrm Mansion in Owusu Properties, Police Station for sale",2400000.0,"GH₵ 2,400,000",,,"100 sqm, 4, Furnished, 5, Owner",Greater Accra,Ashomang Estate,"Greater Accra, Ashomang Estate",https://tonaton.com/a-MfYFNdCgLW5jG29NAxXL4uOEyqxfndRQ-furnished-4bdrm-mansion-in-owusu-properties-police-station-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"5bdrm House in Housing Down, Adenta for sale",850000.0,"GH₵ 850,000",,,"150 sqm, 5, Semi-Furnished, 4, Agent",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCgfzOJUQLr2nsAnOrF7xzxVEn5-5bdrm-house-in-housing-down-adenta-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"7bdrm Mansion in Trassaco, East Legon for sale",37400000.0,"GH₵ 37,400,000",,,"200 sqm, 7, Unfurnished, 7, Agent",Greater Accra,East Legon,"Greater Accra, East Legon",https://tonaton.com/a-MfYFNdCgxEhY64hnebrOsxkt3IFuhQMd-7bdrm-mansion-in-trassaco-east-legon-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,Prime Half Plot for Sale - Lakeside Estate,350000.0,"GH₵ 350,000",Outright Price,,"Agent, 230 sqm",Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",https://tonaton.com/a-MfYFNdCgI8GnuMuF7hn98vi5Ny3I6ZnX-prime-half-plot-for-sale-lakeside-estate.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,3bdrm Apartment in Adenta Estate for rent,2800.0,"GH₵ 2,800",per month,,"Agent, 1532 sqm, Unfurnished, 3, 3",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCgfTtC8Vgp7CrEp3YUMfFXYbAb-3bdrm-apartment-in-adenta-estate-for-rent.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,3bdrm House in East Legon Hills for sale,1560000.0,"GH₵ 1,560,000",,,"100 sqm, 3, Unfurnished, 4, Agent",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCgqoswtPdfKTGcu29RYxLAOghD-3bdrm-house-in-east-legon-hills-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,2bdrm Apartment in Spintex Coastal Down for rent,2500.0,"GH₵ 2,500",per month,,"40 sqm, Unfurnished, 2, 1",Greater Accra,Spintex,"Greater Accra, Spintex",https://tonaton.com/a-MfYFNdCgLawg7fG0sanEzm8N8H9IKSFJ-2bdrm-apartment-in-spintex-coastal-down-for-rent.html,Tonaton Ghana (tonaton.com),2026-05-11
